noteID,note_fr,translation_source
C1,"Les opérations indiquées par les descripteurs d’opérateurs 2 01, 2 02, 2 03, 2 04, 2 07 et 2 08 restent applicables tant qu’elles ne font pas l’objet d’une annulation ou jusqu’à la fin de la sous-série de données.",PDF
C2,"En cas de changement d’échelle, l’émetteur du message devra peut-être modifier en conséquence l’échelle de la valeur de référence et celle du champ de données.",PDF
C3,"Pour supprimer la valeur redéfinie, on inclut l’opérande approprié, y étant mis à zéro. La valeur renvoie alors à la valeur originale de la Table B.",PDF
C4,"L’imbrication des descripteurs d’opérateurs doit garantir une interprétation sans équivoque. Il y a lieu notamment d’annuler ou de compléter, à l’intérieur d’une série de descripteurs répétés, les opérateurs définis dans cette série. à ce sujet, l’opérateur 2 07 ne peut s’imbriquer avec aucun des opérateurs 2 01, 2 02 ou 2 03 et inversement.",PDF
C5,L’imbrication du descripteur d’opération 2 04 est définie de sorte que: a ) chaque nouvelle définition complète le champ associé actuellement défini. L’information associée est communiquée dans l’ordre dans lequel les champs associés sont définis. b ) chaque annulation (2 04 00) ne porte que sur le dernier élément ajouté au champ associé.,PDF
C6,"Lorsque le descripteur 2 04 YYY doit être utilisé, il précède le premier des descripteurs de données auxquels il s’applique.",PDF
C7,"L’opérateur de description des données 2 04 YYY, quand il est différent de 2 04 YYY, est suivi immé- diatement par le descripteur 0 31 021 pour indiquer la signification des champs associés.",PDF
C8,"Dans le train de données, les 6 bits décrits par 0 31 021 précèdent les bits YYY.",PDF
C9,"Lorsqu’un champ associé est établi et qu’une signification lui est donnée, il est possible de modifier cette signification en appliquant de nouveau le descripteur 0 31 021. Il n’est pas nécessaire d’annuler le champ associé pour modifier cette signification. En outre, si un champ associé est annulé puis rétabli, il faut lui donner une signification en appliquant correctement le descripteur 0 31 021, selon les indications des notes 5) à 8). Autrement dit, l’affectation précédente d’une signification ne reste pas valable lorsqu’un champ associé est annulé.",PDF
C10,Les opérateurs de description des données ne s’appliquent pas aux entrées de la classe 31 de la Table B.,PDF
C11,Le descripteur d’opérateur 2 05 permet d’inclure des indications en clair.,PDF
C12,"L’opérateur 2 06 YYY permet d’inclure dans un message des descripteurs locaux, avec leurs données associées, qui peuvent alors être contournées par un destinataire du message. Il ne peut s’appliquer qu’aux descripteurs d’éléments (F = 0).",PDF
C13,"Si des «valeurs remplacées/retenues» sont indiquées, c'est que l'élément de données de la partie d'origine du message a été remplacé par une valeur (vraisemblablement) plus correcte; la valeur d'origine a été retenue dans le message suivant l'opérateur valeurs remplacées/retenues à la suite. Si plusieurs remplacements sont à effectuer pour un même élément de données, ils doivent être placés dans un ordre tel que la donnée d'origine se situe en dernier, précédée de la première valeur de remplacement, elle-même précédée de la valeur suivante, etc. Chaque valeur ou série de valeurs remplacées/retenues est indiquée par la présence de l'opérateur 2 32 000.",PDF
C14,"Si des «valeurs substituées» sont indiquées, c'est que l'élément de données de la partie d'origine du message est vraisemblablement de mauvaise qualité. Cet élément est cependant conservé dans le message d'origine tel qu'il a été reçu; une valeur plus correcte a été introduite dans le message suivant l'opérateur de valeurs substituées. Si plusieurs substitutions sont à effectuer pour un même élément de données, elles doivent être placées dans un ordre tel que la première substitution se situe en premier, suivie de la substitution suivante, elle-même suivie de la suivante, etc. Ainsi, la «meilleure» valeur se trouvera à la fin de l'ensemble de valeurs substituées. Chaque valeur ou série de valeurs substituées est indiquée par la présence de l'opérateur 2 23 000.",PDF
C15,"L’opérateur 2 21 YYY permet de créer un message BUFR ne contenant que la coordonnée (classes 01 à 09), la répétition différée (classe 31) et les informations sur le contrôle de qualité. Le message peut être relié au message porteur de données d’origine par comparaison des informations sur les coordonnées dans les deux messages ou, dans un contexte local, par l’intermédiaire des informations sur la «base de données» indiquées dans la Section 2.",PDF
C16,"Les statistiques de premier ordre désignent des valeurs ayant des limites semblables et les mêmes dimen- sions que les valeurs observées correspondantes (par exemple, maxima, minima, moyennes, etc.).",PDF
C17,"Les statistiques sur les différences sont des valeurs différentielles ayant des dimensions similaires à celles des valeurs observées correspondantes en ce qui concerne les unités, mais dont les limites sont centrées sur le zéro (par exemple, différence entre les valeurs observées et les valeurs analysées, différence entre les valeurs observées et les valeurs prévues, etc.).",PDF
C18,Aucun descripteur d’opérateur n’est prévu pour un usage local.,PDF
C19,"Lorsqu’il est défini au titre des opérateurs 2 41 000 et 2 42 000, un phénomène désigne une ou plusieurs circonstances décrites à l’aide des descripteurs appropriés de la Table B, avec leurs valeurs correspon- dantes. Le regroupement de ces descripteurs en un seul «phénomène» permet de leur attribuer un seul descripteur distinct tel que le descripteur 0 33 045 ou 0 33 046. Lorsque l’on définit une circonstance dans le cadre d’un phénomène, il est possible d’employer le descripteur 0 33 042 devant le descripteur approprié de la Table B pour indiquer que la valeur qui suit constitue une limite pour une fourchette de valeurs.",PDF
C20,"Une prévision catégorielle constitue l’estimation la plus plausible tirée d’un ensemble de valeurs ou de catégories de données liées, qui s’excluent souvent mutuellement. Il est possible d’employer l’opérateur 2 43 000 pour indiquer qu’une ou plusieurs valeurs sont des prévisions catégorielles et d’insérer le des- cripteur 0 33 042 avant chacune de ces valeurs pour indiquer que la valeur qui suit constitue une limite pour une fourchette de valeurs.",PDF
