tableNo,tableName,noteID,notation
00,BUFR/CREX table entries,B75,5
01,BUFR/CREX Identification,,
02,BUFR/CREX Instrumentation,B121,3
02,BUFR/CREX Instrumentation,B155,2
02,BUFR/CREX Instrumentation,B156,1
03,BUFR/CREX Instrumentation,,
04,BUFR/CREX Location (time),B27,7
04,BUFR/CREX Location (time),B105,5
04,BUFR/CREX Location (time),B145,1
04,BUFR/CREX Location (time),B149,4
04,BUFR/CREX Location (time),B158,3
04,BUFR/CREX Location (time),B176,2
05,BUFR/CREX Location (horizontal - 1),B32,4
05,BUFR/CREX Location (horizontal - 1),B110,3
05,BUFR/CREX Location (horizontal - 1),B122,2
05,BUFR/CREX Location (horizontal - 1),B140,5
05,BUFR/CREX Location (horizontal - 1),B163,1
06,BUFR/CREX Location (horizontal - 2),B62,4
06,BUFR/CREX Location (horizontal - 2),B66,3
06,BUFR/CREX Location (horizontal - 2),B141,5
06,BUFR/CREX Location (horizontal - 2),B164,1
06,BUFR/CREX Location (horizontal - 2),B166,2
07,BUFR/CREX Location (vertical),,
08,BUFR/CREX Significance qualifiers,B25,2
08,BUFR/CREX Significance qualifiers,B179,1
10,BUFR/CREX Non-coordinate location (vertical),B165,1
11,BUFR/CREX Non-coordinate location (vertical),B64,4
11,BUFR/CREX Non-coordinate location (vertical),B123,2
11,BUFR/CREX Non-coordinate location (vertical),B126,7
11,BUFR/CREX Non-coordinate location (vertical),B161,3
11,BUFR/CREX Non-coordinate location (vertical),B167,1
11,BUFR/CREX Non-coordinate location (vertical),B180,5
12,BUFR/CREX Temperature,,
13,BUFR/CREX Hydrographic and hydrological elements,B23,1
14,BUFR/CREX Radiation and radiance,B63,1
14,BUFR/CREX Radiation and radiance,B160,2
14,BUFR/CREX Radiation and radiance,B178,3
15,BUFR/CREX Physical/chemical constituents,B65,4
19,BUFR/CREX Synoptic features,,
20,BUFR/CREX Observed phenomena,,
21,BUFR/CREX Radar data,,
22,BUFR/CREX Oceanographic elements,B181,8
23,BUFR/CREX Dispersal and transport,,
24,BUFR/CREX Radiological elements,B162,1
25,BUFR/CREX Processing information,,
26,BUFR/CREX Non-coordinate location (time),,
27,BUFR/CREX Non-coordinate location (horizontal - 1),,
28,BUFR/CREX Non-coordinate location (horizontal - 2),,
29,BUFR/CREX Map data,,
30,BUFR/CREX Image,B92,2
30,BUFR/CREX Image,B115,1
31,BUFR Data description operator qualifiers,,
33,BUFR/CREX Quality information,,
35,BUFR/CREX Data monitoring information,,
40,BUFR/CREX Satellite data,,
41,BUFR/CREX Oceanographic/biogeochemical parameters,,
42,BUFR/CREX Oceanographic elements,,
