ID,FXY,ElementName_ru,CodeFigure,EntryName_ru,EntryName_sub1_ru,EntryName_sub2_ru,Note_ru,noteIDs,Status,translation_source
bufr4/0/40/028/10,040028,Флаг качества GMI,10,Данные отсутствуют во множестве каналов,,,,,Operational,PDF
bufr4/0/40/028/11,040028,Флаг качества GMI,11,Значения широты/долготы вне диапазона,,,,,Operational,PDF
bufr4/0/40/028/12,040028,Флаг качества GMI,12,Нехарактерные статусные режимы,,,,,Operational,PDF
bufr4/0/40/028/13,040028,Флаг качества GMI,13,Расстояние до соответствующего пикселя низкой частоты > 7 км,,,,,Operational,PDF
bufr4/0/40/028/14,040028,Флаг качества GMI,14,Зарезервирована,,,,,Operational,PDF
bufr4/0/40/028/15,040028,Флаг качества GMI,15,Отсутствующее значение (информация о качестве отсутствует),,,,,Operational,PDF
bufr4/0/40/036/0,040036,Классификационный тип данных лидара L2b,0,Ясно,,,,,Operational,PDF
bufr4/0/40/036/1,040036,Классификационный тип данных лидара L2b,1,Облачно,,,,,Operational,PDF
bufr4/0/40/036/2-14,040036,Классификационный тип данных лидара L2b,2-14,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/036/15,040036,Классификационный тип данных лидара L2b,15,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/043/0,040043,Индикатор маневра спутника,0,Платформа не осуществляет маневр,,,,,Operational,PDF
bufr4/0/40/043/1,040043,Индикатор маневра спутника,1,"Платформа осуществляет маневр, номинальная обработка",,,,,Operational,PDF
bufr4/0/40/043/2,040043,Индикатор маневра спутника,2,"Платформа осуществляет маневр, отсутствие обработки",,,,,Operational,PDF
bufr4/0/40/043/3-6,040043,Индикатор маневра спутника,3-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/043/7,040043,Индикатор маневра спутника,7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/045/1,040045,Образование облаков и определение высоты,1,"Облачная продукция, полученная методом хи-квадрат",,,,,Operational,PDF
bufr4/0/40/045/2,040045,Образование облаков и определение высоты,2,"Облачная продукция, полученная в канале CO2 методом слоирования",,,,,Operational,PDF
bufr4/0/40/045/3,040045,Образование облаков и определение высоты,3,"Определение высоты, произведенное статистическим извлечением нулевого приближения",,,,,Operational,PDF
bufr4/0/40/045/4,040045,Образование облаков и определение высоты,4,"Определение высоты, произведенное в результате прогнозов ЧПП",,,,,Operational,PDF
bufr4/0/40/045/All-5,040045,Образование облаков и определение высоты,Все 5,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/046/0,040046,Сводка облачности,0,МПО IASI чисто,,,,,Operational,PDF
bufr4/0/40/046/1,040046,Сводка облачности,1,Небольшая вероятность распространения облаков,,,,,Operational,PDF
bufr4/0/40/046/2,040046,Сводка облачности,2,МПО IASI частично закрыто облаками,,,,,Operational,PDF
bufr4/0/40/046/3,040046,Сводка облачности,3,Высокое или полное облачное покрытие,,,,,Operational,PDF
bufr4/0/40/046/4-6,040046,Сводка облачности,4-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/046/7,040046,Сводка облачности,7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/047/0,040047,Флаг валидации для продукции уровня 1 IASI или IASI-NG,0,Измерения IASI и вспомогательная информация доступны и хорошего качества для обработки L2,,,,,Operational,PDF
bufr4/0/40/047/1,040047,Флаг валидации для продукции уровня 1 IASI или IASI-NG,1,"Продукция уровня 1с IASI пониженного качества согласно флагам уровня 1с IASI, отсутствие обработки L2",,,,,Operational,PDF
bufr4/0/40/047/2,040047,Флаг валидации для продукции уровня 1 IASI или IASI-NG,2,"Контроль качества показывает, что данные уровня 1с IASI пониженного качества (не указано флагами уровня 1с IASI), отсутствие обработки L2",,,,,Operational,PDF
bufr4/0/40/047/3-6,040047,Флаг валидации для продукции уровня 1 IASI или IASI-NG,3-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/047/7,040047,Флаг валидации для продукции уровня 1 IASI или IASI-NG,7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/048/0,040048,Флаг валидации потока данных уровня 1 AMSU-A,0,"Ожидаемые измерения AMSU доступны, хорошего качества и совмещены с IASI для обработки",,,,,Operational,PDF
bufr4/0/40/048/1,040048,Флаг валидации потока данных уровня 1 AMSU-A,1,"Данные AMSU-A доступны, но пониженного качества (согласно флагам уровня 1 AMSU и тестам контроля качества) и не используются для обработки",,,,,Operational,PDF
bufr4/0/40/048/2,040048,Флаг валидации потока данных уровня 1 AMSU-A,2,"Отсутствие совпадающих (во времени и пространстве) измерений AMSU, доступных для обработки",,,,,Operational,PDF
bufr4/0/40/048/3-6,040048,Флаг валидации потока данных уровня 1 AMSU-A,3-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/048/7,040048,Флаг валидации потока данных уровня 1 AMSU-A,7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/049/1-3,040049,Выполненные тесты облаков и результаты,1-3,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/049/4,040049,Выполненные тесты облаков и результаты,4,Оптическая толщина облаков IASI указывает на облачность,,,,,Operational,PDF
bufr4/0/40/049/5,040049,Выполненные тесты облаков и результаты,5,Оптическая толщина облаков IASI вычислена,,,,,Operational,PDF
bufr4/0/40/049/6,040049,Выполненные тесты облаков и результаты,6,Тест на однородность AVHRR указывает на облачность,,,,,Operational,PDF
bufr4/0/40/049/7,040049,Выполненные тесты облаков и результаты,7,Тест на однородность AVHRR выполнен,,,,,Operational,PDF
bufr4/0/40/049/8,040049,Выполненные тесты облаков и результаты,8,Тест облака IASI-AVHRR ANN указывает на облачность,,,,,Operational,PDF
bufr4/0/40/049/9,040049,Выполненные тесты облаков и результаты,9,Тест облака IASI-AVHRR ANN выполнен,,,,,Operational,PDF
bufr4/0/40/049/10,040049,Выполненные тесты облаков и результаты,10,Интегрированная доля облачности AVHRR указывает на облачность,,,,,Operational,PDF
bufr4/0/40/049/11,040049,Выполненные тесты облаков и результаты,11,Интегрированная доля облачности AVHRR определена,,,,,Operational,PDF
bufr4/0/40/049/12,040049,Выполненные тесты облаков и результаты,12,Облачный тест AMSU указывает на облачность,,,,,Operational,PDF
bufr4/0/40/049/13,040049,Выполненные тесты облаков и результаты,13,Облачный тест AMSU выполнен,,,,,Operational,PDF
bufr4/0/40/049/14,040049,Выполненные тесты облаков и результаты,14,Облачный тест окна IASI указывает на облачность,,,,,Operational,PDF
bufr4/0/40/049/15,040049,Выполненные тесты облаков и результаты,15,Облачный тест окна IASI выполнен,,,,,Operational,PDF
bufr4/0/40/049/All-16,040049,Выполненные тесты облаков и результаты,Все 16,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/050/1-4,040050,Инициализация извлечения,1-4,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/050/5,040050,Инициализация извлечения,5,MHS включен,,,,,Operational,PDF
bufr4/0/40/050/6,040050,Инициализация извлечения,6,AMSU включен,,,,,Operational,PDF
bufr4/0/40/050/7,040050,Инициализация извлечения,7,IASI включен,,,,,Operational,PDF
bufr4/0/40/050/All-8,040050,Инициализация извлечения,Все 8,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/051/0,040051,Конвергенция итерационного извлечения,0,Методы оптимальной оценки (МОО) не выполнялись,,,,,Operational,PDF
bufr4/0/40/051/1,040051,Конвергенция итерационного извлечения,1,МОО отменен ввиду слишком высоких остаточных погрешностей нулевого приближения,,,,,Operational,PDF
bufr4/0/40/051/2,040051,Конвергенция итерационного извлечения,2,"Минимизация не сошлась, зондирование отклонено",,,,,Operational,PDF
bufr4/0/40/051/3,040051,Конвергенция итерационного извлечения,3,"Минимизация не сошлась, зондирование принято",,,,,Operational,PDF
bufr4/0/40/051/4,040051,Конвергенция итерационного извлечения,4,"Минимизация сошлась, но зондирование отклонено",,,,,Operational,PDF
bufr4/0/40/051/5,040051,Конвергенция итерационного извлечения,5,"Минимизация сошлась, зондирование принято",,,,,Operational,PDF
bufr4/0/40/051/6,040051,Конвергенция итерационного извлечения,6,Зарезервировано,,,,,Operational,PDF
bufr4/0/40/051/7,040051,Конвергенция итерационного извлечения,7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/052/1-3,040052,Указание сверхадиабатики и перенасыщенности в итоговом извлечении,1-3,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/052/4,040052,Указание сверхадиабатики и перенасыщенности в итоговом извлечении,4,Условия перенасыщенности в извлечении МОО,,,,,Operational,PDF
bufr4/0/40/052/5,040052,Указание сверхадиабатики и перенасыщенности в итоговом извлечении,5,Сверхадиабатические условия в извлечении МОО,,,,,Operational,PDF
bufr4/0/40/052/6,040052,Указание сверхадиабатики и перенасыщенности в итоговом извлечении,6,Условия перенасыщенности в нулевом приближении,,,,,Operational,PDF
bufr4/0/40/052/7,040052,Указание сверхадиабатики и перенасыщенности в итоговом извлечении,7,Сверхадиабатические условия в нулевом приближении,,,,,Operational,PDF
bufr4/0/40/052/All-8,040052,Указание сверхадиабатики и перенасыщенности в итоговом извлечении,Все 8,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/054/1,040054,Возможные ошибки обработки и ввода,1,Обнаружена ошибка,,,,,Operational,PDF
bufr4/0/40/054/2,040054,Возможные ошибки обработки и ввода,2,Сообщение L1,,,,,Operational,PDF
bufr4/0/40/054/3,040054,Возможные ошибки обработки и ввода,3,Сообщение L2,,,,,Operational,PDF
bufr4/0/40/054/4,040054,Возможные ошибки обработки и ввода,4,Сообщение вспомогательных данных,,,,,Operational,PDF
bufr4/0/40/054/5,040054,Возможные ошибки обработки и ввода,5,Сообщение подгоночной процедуры,,,,,Operational,PDF
bufr4/0/40/054/6,040054,Возможные ошибки обработки и ввода,6,Открытие файла,,,,,Operational,PDF
bufr4/0/40/054/7,040054,Возможные ошибки обработки и ввода,7,Чтение файла,,,,,Operational,PDF
bufr4/0/40/054/8,040054,Возможные ошибки обработки и ввода,8,Флаг качества,,,,,Operational,PDF
bufr4/0/40/054/9,040054,Возможные ошибки обработки и ввода,9,"Уровень 2 «из линейной регрессии» (F_Qual), сообщить о пикселе, в котором L2 не в полной степени надежны",,,,,Operational,PDF
bufr4/0/40/054/10,040054,Возможные ошибки обработки и ввода,10,Пустое поле или данные,,,,,Operational,PDF
bufr4/0/40/054/11,040054,Возможные ошибки обработки и ввода,11,Отсутствует значение приземного давления,,,,,Operational,PDF
bufr4/0/40/054/12,040054,Возможные ошибки обработки и ввода,12,Фильтрация излучения,,,,,Operational,PDF
bufr4/0/40/054/All-13,040054,Возможные ошибки обработки и ввода,Все 13,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/055/1,040055,Диагностика извлечения,1,Фильтрация излучения,,,,,Operational,PDF
bufr4/0/40/055/2,040055,Диагностика извлечения,2,Полярные регионы,,,,,Operational,PDF
bufr4/0/40/055/3,040055,Диагностика извлечения,3,Ночное расположение,,,,,Operational,PDF
bufr4/0/40/055/4,040055,Диагностика извлечения,4,Отрицательная высота поверхности ниже среднего уровня моря,,,,,Operational,PDF
bufr4/0/40/055/5,040055,Диагностика извлечения,5,Облачность на снимке,,,,,Operational,PDF
bufr4/0/40/055/6,040055,Диагностика извлечения,6,Снимок над морем,,,,,Operational,PDF
bufr4/0/40/055/7,040055,Диагностика извлечения,7,Снимок над пустыней,,,,,Operational,PDF
bufr4/0/40/055/8,040055,Диагностика извлечения,8,Температура поверхностного слоя,,,,,Operational,PDF
bufr4/0/40/055/9,040055,Диагностика извлечения,9,Дифференциал температуры поверхностного слоя,,,,,Operational,PDF
bufr4/0/40/055/10,040055,Диагностика извлечения,10,Слишком слабый контраст спектральной линии,,,,,Operational,PDF
bufr4/0/40/055/11,040055,Диагностика извлечения,11,Максимальное число итераций превышено,,,,,Operational,PDF
bufr4/0/40/055/12,040055,Диагностика извлечения,12,Отрицательное частичное содержание вещества в столбе воздуха,,,,,Operational,PDF
bufr4/0/40/055/13,040055,Диагностика извлечения,13,Матрица некорректна,,,,,Operational,PDF
bufr4/0/40/055/14,040055,Диагностика извлечения,14,Расхождение подгонки,,,,,Operational,PDF
bufr4/0/40/055/15,040055,Диагностика извлечения,15,Ошибка использования GSL,,,,,Operational,PDF
bufr4/0/40/055/16,040055,Диагностика извлечения,16,Остаточные погрешности со сдвигом,,,,,Operational,PDF
bufr4/0/40/055/17,040055,Диагностика извлечения,17,Остаточные погрешности с наклоном,,,,,Operational,PDF
bufr4/0/40/055/18,040055,Диагностика извлечения,18,Большое остаточное СКО,,,,,Operational,PDF
bufr4/0/40/055/19,040055,Диагностика извлечения,19,Неадекватное усреднение ядра,,,,,Operational,PDF
bufr4/0/40/055/20,040055,Диагностика извлечения,20,Обнаружено наличие льда,,,,,Operational,PDF
bufr4/0/40/055/All-21,040055,Диагностика извлечения,Все 21,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/056/0,040056,Общее качество извлечения,0,Использование не рекомендовано,,,,,Operational,PDF
bufr4/0/40/056/1,040056,Общее качество извлечения,1,Использовать с осторожностью,,,,,Operational,PDF
bufr4/0/40/056/2,040056,Общее качество извлечения,2,Наилучшее качество,,,,,Operational,PDF
bufr4/0/40/056/3-6,040056,Общее качество извлечения,3-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/056/7,040056,Общее качество извлечения,7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/057/1,040057,Флаги извлечения уровня 2 IASI,1,Обнаружена ошибка,,,,,Operational,PDF
bufr4/0/40/057/2,040057,Флаги извлечения уровня 2 IASI,2,Сообщение L1,,,,,Operational,PDF
bufr4/0/40/057/3,040057,Флаги извлечения уровня 2 IASI,3,Сообщение L2,,,,,Operational,PDF
bufr4/0/40/057/4,040057,Флаги извлечения уровня 2 IASI,4,Сообщение вспомогательных данных,,,,,Operational,PDF
bufr4/0/40/057/5,040057,Флаги извлечения уровня 2 IASI,5,Сообщение подгоночной процедуры,,,,,Operational,PDF
bufr4/0/40/057/6,040057,Флаги извлечения уровня 2 IASI,6,Зарезервировано,,,,,Operational,PDF
bufr4/0/40/057/7,040057,Флаги извлечения уровня 2 IASI,7,Поднят неверный флаг L1 или L2,,,,,Operational,PDF
bufr4/0/40/057/8,040057,Флаги извлечения уровня 2 IASI,8,Не вполне надежный уровень 2,,,,,Operational,PDF
bufr4/0/40/057/9,040057,Флаги извлечения уровня 2 IASI,9,Отсутствует температура или значения влажности в вертикальном профиле,,,,,Operational,PDF
bufr4/0/40/057/10,040057,Флаги извлечения уровня 2 IASI,10,Отсутствует значение приземного давления,,,,,Operational,PDF
bufr4/0/40/057/11,040057,Флаги извлечения уровня 2 IASI,11,Фильтрация излучения,,,,,Operational,PDF
bufr4/0/40/057/12,040057,Флаги извлечения уровня 2 IASI,12,Полярные регионы,,,,,Operational,PDF
bufr4/0/40/057/13,040057,Флаги извлечения уровня 2 IASI,13,Ночное расположение,,,,,Operational,PDF
bufr4/0/40/057/14,040057,Флаги извлечения уровня 2 IASI,14,Отрицательная высота,,,,,Operational,PDF
bufr4/0/40/057/15,040057,Флаги извлечения уровня 2 IASI,15,Облачность на снимке,,,,,Operational,PDF
bufr4/0/40/057/16,040057,Флаги извлечения уровня 2 IASI,16,Снимок над морем,,,,,Operational,PDF
bufr4/0/40/057/17,040057,Флаги извлечения уровня 2 IASI,17,Снимок над пустыней,,,,,Operational,PDF
bufr4/0/40/057/18,040057,Флаги извлечения уровня 2 IASI,18,Отсутствует температура поверхностного слоя,,,,,Operational,PDF
bufr4/0/40/057/19,040057,Флаги извлечения уровня 2 IASI,19,Извлеченная температура поверхностного слоя значительно отклоняется от модели,,,,,Operational,PDF
bufr4/0/40/057/20,040057,Флаги извлечения уровня 2 IASI,20,Слишком слабый контраст спектральной линии,,,,,Operational,PDF
bufr4/0/40/057/21,040057,Флаги извлечения уровня 2 IASI,21,Максимальное число итераций превышено,,,,,Operational,PDF
bufr4/0/40/057/22,040057,Флаги извлечения уровня 2 IASI,22,Отрицательное частичное содержание вещества в столбе воздуха,,,,,Operational,PDF
bufr4/0/40/057/23,040057,Флаги извлечения уровня 2 IASI,23,Матрица некорректна,,,,,Operational,PDF
bufr4/0/40/057/24,040057,Флаги извлечения уровня 2 IASI,24,Расхождение подгонки,,,,,Operational,PDF
bufr4/0/40/057/25,040057,Флаги извлечения уровня 2 IASI,25,Ошибка использования GSL,,,,,Operational,PDF
bufr4/0/40/057/26,040057,Флаги извлечения уровня 2 IASI,26,Остаточные погрешности со сдвигом,,,,,Operational,PDF
bufr4/0/40/057/27,040057,Флаги извлечения уровня 2 IASI,27,Остаточные погрешности с наклоном,,,,,Operational,PDF
bufr4/0/40/057/28,040057,Флаги извлечения уровня 2 IASI,28,Большое остаточное СКО,,,,,Operational,PDF
bufr4/0/40/057/29,040057,Флаги извлечения уровня 2 IASI,29,Неадекватное усреднение ядра,,,,,Operational,PDF
bufr4/0/40/057/30,040057,Флаги извлечения уровня 2 IASI,30,Обнаружено наличие льда,,,,,Operational,PDF
bufr4/0/40/057/All-31,040057,Флаги извлечения уровня 2 IASI,Все 31,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/068/0,040068,Флаг общего качества извлечения для SO2,0,Значения рассчитаны c L2 IASI,,,,,Operational,PDF
bufr4/0/40/068/1,040068,Флаг общего качества извлечения для SO2,1,В данных L2 IASI отсутствуют профили давления и температуры; вместо них используются данные модели/прогноза,,,,,Operational,PDF
bufr4/0/40/068/2,040068,Флаг общего качества извлечения для SO2,2,Наилучшее качество,,,,,Operational,PDF
bufr4/0/40/068/3-14,040068,Флаг общего качества извлечения для SO2,3-14,Зарезервированы,,,,,Operational,PDF
