ID,FXY,ElementName_ru,CodeFigure,EntryName_ru,EntryName_sub1_ru,EntryName_sub2_ru,Note_ru,noteIDs,Status,translation_source
bufr4/0/40/005/1,040005,Флаг коррекции влажности почвы,1,Влажность почвы между –20 % и 0 %,,,,,Operational,PDF
bufr4/0/40/005/2,040005,Флаг коррекции влажности почвы,2,Влажность почвы между 100 % и 120 %,,,,,Operational,PDF
bufr4/0/40/005/3,040005,Флаг коррекции влажности почвы,3,Коррекция начала отсчета влажного обратного рассеяния,,,,,Operational,PDF
bufr4/0/40/005/4,040005,Флаг коррекции влажности почвы,4,Коррекция начала отсчета сухого обратного рассеяния,,,,,Operational,PDF
bufr4/0/40/005/5,040005,Флаг коррекции влажности почвы,5,Коррекция рассеяния объема в песке,,,,,Operational,PDF
bufr4/0/40/005/6-7,040005,Флаг коррекции влажности почвы,6-7,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/005/All-8,040005,Флаг коррекции влажности почвы,Все 8,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/006/1,040006,Флаг обработки влажности почвы,1,Не почва,,,,,Operational,PDF
bufr4/0/40/006/2,040006,Флаг обработки влажности почвы,2,Чувствительность к влажности почвы ниже предела,,,,,Operational,PDF
bufr4/0/40/006/3,040006,Флаг обработки влажности почвы,3,Шум азимута выше предела,,,,,Operational,PDF
bufr4/0/40/006/4,040006,Флаг обработки влажности почвы,4,Обратное рассеяние переднего-заднего луча вне диапазона,,,,,Operational,PDF
bufr4/0/40/006/5,040006,Флаг обработки влажности почвы,5,Наклон среднего-переднего луча вне диапазона,,,,,Operational,PDF
bufr4/0/40/006/6,040006,Флаг обработки влажности почвы,6,Наклон среднего-заднего луча вне диапазона,,,,,Operational,PDF
bufr4/0/40/006/7,040006,Флаг обработки влажности почвы,7,Влажность почвы ниже –20 %,,,,,Operational,PDF
bufr4/0/40/006/8,040006,Флаг обработки влажности почвы,8,Влажность почвы выше 120 %,,,,,Operational,PDF
bufr4/0/40/006/9-15,040006,Флаг обработки влажности почвы,9-15,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/006/All-16,040006,Флаг обработки влажности почвы,Все 16,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/011/1,040011,Флаг интерполяции,1,Флаг интерполяции средней высоты поверхности моря (MSS),,,,,Operational,PDF
bufr4/0/40/011/2,040011,Флаг интерполяции,2,"Флаг интерполяции океанского прилива, решение 1 (0 = 4 единицам над океаном, 1 = менее 4 единиц)",,,,,Operational,PDF
bufr4/0/40/011/3,040011,Флаг интерполяции,3,"Флаг интерполяции океанского прилива, решение 2 (0 = 4 единицам над океаном, 1 = менее 4 единиц)",,,,,Operational,PDF
bufr4/0/40/011/4,040011,Флаг интерполяции,4,"Флаг интерполяции метеорологических данных (0 = 4 единицам над океаном, 1 = менее 4 единиц)",,,,,Operational,PDF
bufr4/0/40/011/5-7,040011,Флаг интерполяции,5-7,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/011/All-8,040011,Флаг интерполяции,Все 8,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/012/1,040012,"Флаг качества данных радиометра (0 — хорошее, 1 — плохое)",1,"Яркостная температура 18,7 ГГц",,,,,Operational,PDF
bufr4/0/40/012/2,040012,"Флаг качества данных радиометра (0 — хорошее, 1 — плохое)",2,"Яркостная температура 23,8 ГГц",,,,,Operational,PDF
bufr4/0/40/012/3,040012,"Флаг качества данных радиометра (0 — хорошее, 1 — плохое)",3,Яркостная температура 34 ГГц,,,,,Operational,PDF
bufr4/0/40/012/4-7,040012,"Флаг качества данных радиометра (0 — хорошее, 1 — плохое)",4-7,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/012/All-8,040012,"Флаг качества данных радиометра (0 — хорошее, 1 — плохое)",Все 8,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/013/0,040013,"Флаг интерпретации яркостной температуры, измеренной с помощью радиометра",0,Интерполяция без пропуска между данными JMR,,,,,Operational,PDF
bufr4/0/40/013/1,040013,"Флаг интерпретации яркостной температуры, измеренной с помощью радиометра",1,Интерполяция с пропусками между данными JMR,,,,,Operational,PDF
bufr4/0/40/013/2,040013,"Флаг интерпретации яркостной температуры, измеренной с помощью радиометра",2,Экстраполяция данных JMR,,,,,Operational,PDF
bufr4/0/40/013/3,040013,"Флаг интерпретации яркостной температуры, измеренной с помощью радиометра",3,Неудавшаяся экстраполяция и интерполяция,,,,,Operational,PDF
bufr4/0/40/013/4-6,040013,"Флаг интерпретации яркостной температуры, измеренной с помощью радиометра",4-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/013/7,040013,"Флаг интерпретации яркостной температуры, измеренной с помощью радиометра",7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/020/1,040020,GqisFlagQualDetailed — Флаг качества для системы,1,NZPD (номер нулевой разности хода) и ошибка комплексной калибровки,,,,,Operational,PDF
bufr4/0/40/020/2,040020,GqisFlagQualDetailed — Флаг качества для системы,2,"Полоса 3, искаженная вследствие выброса",,,,,Operational,PDF
bufr4/0/40/020/3,040020,GqisFlagQualDetailed — Флаг качества для системы,3,"Полоса 3, искаженная вследствие насыщения",,,,,Operational,PDF
bufr4/0/40/020/4,040020,GqisFlagQualDetailed — Флаг качества для системы,4,"Полоса 2, искаженная вследствие выброса",,,,,Operational,PDF
bufr4/0/40/020/5,040020,GqisFlagQualDetailed — Флаг качества для системы,5,"Полоса 1, искаженная вследствие выброса",,,,,Operational,PDF
bufr4/0/40/020/6,040020,GqisFlagQualDetailed — Флаг качества для системы,6,Переполнение/ недостаточность данных,,,,,Operational,PDF
bufr4/0/40/020/7,040020,GqisFlagQualDetailed — Флаг качества для системы,7,Ошибка обработки на борту,,,,,Operational,PDF
bufr4/0/40/020/8,040020,GqisFlagQualDetailed — Флаг качества для системы,8,Ошибка спектральной калибровки,,,,,Operational,PDF
bufr4/0/40/020/9,040020,GqisFlagQualDetailed — Флаг качества для системы,9,Ошибка радиометрической калибровки,,,,,Operational,PDF
bufr4/0/40/020/10,040020,GqisFlagQualDetailed — Флаг качества для системы,10,Данные AVHRR отсутствуют,,,,,Operational,PDF
bufr4/0/40/020/11,040020,GqisFlagQualDetailed — Флаг качества для системы,11,Данные IIS отсутствуют,,,,,Operational,PDF
bufr4/0/40/020/12,040020,GqisFlagQualDetailed — Флаг качества для системы,12,Данные зондирующего устройства отсутствуют,,,,,Operational,PDF
bufr4/0/40/020/13,040020,GqisFlagQualDetailed — Флаг качества для системы,13,GqisFlagQual результирующий флаг для всех полос,,,,,Operational,PDF
bufr4/0/40/020/14,040020,GqisFlagQualDetailed — Флаг качества для системы,14,Ошибка обработки на земле,,,,,Operational,PDF
bufr4/0/40/020/15,040020,GqisFlagQualDetailed — Флаг качества для системы,15,Ошибка взаимной калибровки IASI/AVHRR,,,,,Operational,PDF
bufr4/0/40/020/16,040020,GqisFlagQualDetailed — Флаг качества для системы,16,Резервный,,,,,Operational,PDF
bufr4/0/40/020/All-17,040020,GqisFlagQualDetailed — Флаг качества для системы,Все 17,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/023/1,040023,Вспомогательные флаги состояния альтиметра,1,"Последовательность полосы (0 = 3Ku_1C_3Ku, 1 = 2Ku_1C_2Ku)",,,,,Operational,PDF
bufr4/0/40/023/2,040023,Вспомогательные флаги состояния альтиметра,2,"Частота полосы C (0 = 320 МГц, 1 = 100 Мгц)",,,,,Operational,PDF
bufr4/0/40/023/3,040023,Вспомогательные флаги состояния альтиметра,3,"Статус полосы C (0 = вкл., 1 = выкл.)",,,,,Operational,PDF
bufr4/0/40/023/4,040023,Вспомогательные флаги состояния альтиметра,4,"Статус полосы Ku (0 = вкл., 1 = выкл.)",,,,,Operational,PDF
bufr4/0/40/023/All-5,040023,Вспомогательные флаги состояния альтиметра,Все 5,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/024/0,040024,Наличие метеорологической карты,0,Имеются 2 карты (разница 6 часов),,,,,Operational,PDF
bufr4/0/40/024/1,040024,Наличие метеорологической карты,1,Имеются 2 карты (разница > 6 часов),,,,,Operational,PDF
bufr4/0/40/024/2,040024,Наличие метеорологической карты,2,Имеется 1 карта; данные экстраполируются,,,,,Operational,PDF
bufr4/0/40/024/3,040024,Наличие метеорологической карты,3,Карты не используются,,,,,Operational,PDF
bufr4/0/40/024/4-6,040024,Наличие метеорологической карты,4-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/40/024/7,040024,Наличие метеорологической карты,7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/025/0,040025,Флаг интерполяции для среднего значения величины суточного прилива,0,Хорошая,,,,,Operational,PDF
bufr4/0/40/025/1,040025,Флаг интерполяции для среднего значения величины суточного прилива,1,Плохая,,,,,Operational,PDF
bufr4/0/40/025/2,040025,Флаг интерполяции для среднего значения величины суточного прилива,2,Зарезервировано,,,,,Operational,PDF
bufr4/0/40/025/3,040025,Флаг интерполяции для среднего значения величины суточного прилива,3,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/40/028/0,040028,Флаг качества GMI,0,Данные хорошего качества,,,,,Operational,PDF
bufr4/0/40/028/1,040028,Флаг качества GMI,1,Возможные солнечные блики,,,,,Operational,PDF
bufr4/0/40/028/2,040028,Флаг качества GMI,2,Возможные радиочастотные помехи,,,,,Operational,PDF
bufr4/0/40/028/3,040028,Флаг качества GMI,3,Данные геоположения пониженного качества,,,,,Operational,PDF
bufr4/0/40/028/4,040028,Флаг качества GMI,4,Скорректированные данные с учетом вторжения теплой нагрузки,,,,,Operational,PDF
bufr4/0/40/028/5,040028,Флаг качества GMI,5,Сканирование с функцией гашения,,,,,Operational,PDF
bufr4/0/40/028/6,040028,Флаг качества GMI,6,Данные в файле отсутствуют или непригодны для чтения,,,,,Operational,PDF
bufr4/0/40/028/7,040028,Флаг качества GMI,7,Нефизическая яркостная температура,,,,,Operational,PDF
bufr4/0/40/028/8,040028,Флаг качества GMI,8,Ошибка в данных геопозиционирования,,,,,Operational,PDF
bufr4/0/40/028/9,040028,Флаг качества GMI,9,Данные отсутствуют в одном канале,,,,,Operational,PDF
