ID,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status,translation_source
bufr4/0/28/001,28,Бескоординатное местоположение (горизонтальное — 2) в BUFR/CREX,028001,Долгота (высокая точность),deg,5,-18000000,26,deg,5,8,,,Operational,PDF
bufr4/0/28/002,28,Бескоординатное местоположение (горизонтальное — 2) в BUFR/CREX,028002,Долгота (низкая точность),deg,2,-18000,16,deg,2,5,,,Operational,PDF
bufr4/0/28/003,28,Бескоординатное местоположение (горизонтальное — 2) в BUFR/CREX,028003,Альтернативная долгота (низкая точность),deg,2,-18000,16,deg,2,5,(см. примечание 1),133,Operational,PDF
bufr4/0/28/004,28,Бескоординатное местоположение (горизонтальное — 2) в BUFR/CREX,028004,Альтернативная долгота (высокая точность),deg,5,-18000000,26,deg,5,8,(см. примечание 1),133,Operational,PDF
bufr4/0/28/010,28,Бескоординатное местоположение (горизонтальное — 2) в BUFR/CREX,028010,Ось 2 зоны покрытия,m,-1,0,14,m,-1,5,,,Operational,PDF
bufr4/0/28/031,28,Бескоординатное местоположение (горизонтальное — 2) в BUFR/CREX,028031,"В направлении 90° на восток, расстояние от центра Земли",m,2,-1073741824,31,m,2,10,(см. примечания 2 и 3),"94,152",Operational,PDF
