ID,FXY,ElementName_ru,CodeFigure,EntryName_ru,EntryName_sub1_ru,EntryName_sub2_ru,Note_ru,noteIDs,Status,translation_source
bufr4/0/23/001/0,023001,Оперативное оповещение об аварии — применимая статья Конвенции,0,Зарезервирована,,,,,Operational,PDF
bufr4/0/23/001/1,023001,Оперативное оповещение об аварии — применимая статья Конвенции,1,Статьи 1 и 2,,,,,Operational,PDF
bufr4/0/23/001/2,023001,Оперативное оповещение об аварии — применимая статья Конвенции,2,Статья 3,,,,,Operational,PDF
bufr4/0/23/001/3,023001,Оперативное оповещение об аварии — применимая статья Конвенции,3,Статья 5.2,,,,,Operational,PDF
bufr4/0/23/001/4-6,023001,Оперативное оповещение об аварии — применимая статья Конвенции,4-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/23/001/7,023001,Оперативное оповещение об аварии — применимая статья Конвенции,7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/002/0,023002,"Деятельность или установка, связанные с происшествием",0,Зарезервирована,,,,,Operational,PDF
bufr4/0/23/002/1,023002,"Деятельность или установка, связанные с происшествием",1,Ядерный реактор на земле,,,,,Operational,PDF
bufr4/0/23/002/2,023002,"Деятельность или установка, связанные с происшествием",2,Ядерный реактор в море,,,,,Operational,PDF
bufr4/0/23/002/3,023002,"Деятельность или установка, связанные с происшествием",3,Ядерный реактор в космосе,,,,,Operational,PDF
bufr4/0/23/002/4,023002,"Деятельность или установка, связанные с происшествием",4,Установка по производству ядерного топлива,,,,,Operational,PDF
bufr4/0/23/002/5,023002,"Деятельность или установка, связанные с происшествием",5,Установка по переработке радиоактивных отходов,,,,,Operational,PDF
bufr4/0/23/002/6,023002,"Деятельность или установка, связанные с происшествием",6,Транспортировка ядерного топлива или радиоактивных отходов,,,,,Operational,PDF
bufr4/0/23/002/7,023002,"Деятельность или установка, связанные с происшествием",7,Хранение ядерного топлива или радиоактивных отходов,,,,,Operational,PDF
bufr4/0/23/002/8,023002,"Деятельность или установка, связанные с происшествием",8,Производство радиоизотопов,,,,,Operational,PDF
bufr4/0/23/002/9,023002,"Деятельность или установка, связанные с происшествием",9,Использование радиоизотопов,,,,,Operational,PDF
bufr4/0/23/002/10,023002,"Деятельность или установка, связанные с происшествием",10,Хранение радиоизотопов,,,,,Operational,PDF
bufr4/0/23/002/11,023002,"Деятельность или установка, связанные с происшествием",11,Захоронение радиоизотопов,,,,,Operational,PDF
bufr4/0/23/002/12,023002,"Деятельность или установка, связанные с происшествием",12,Транспортировка радиоизотопов,,,,,Operational,PDF
bufr4/0/23/002/13,023002,"Деятельность или установка, связанные с происшествием",13,Использование радиоизотопов для выработки электроэнергии,,,,,Operational,PDF
bufr4/0/23/002/14-29,023002,"Деятельность или установка, связанные с происшествием",14-29,Зарезервированы,,,,,Operational,PDF
bufr4/0/23/002/30,023002,"Деятельность или установка, связанные с происшествием",30,Другие виды,,,,,Operational,PDF
bufr4/0/23/002/31,023002,"Деятельность или установка, связанные с происшествием",31,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/003/0,023003,Тип выброса,0,Выброс отсутствует,,,,,Operational,PDF
bufr4/0/23/003/1,023003,Тип выброса,1,Выброс в атмосферу,,,,,Operational,PDF
bufr4/0/23/003/2,023003,Тип выброса,2,Выброс в водные объекты,,,,,Operational,PDF
bufr4/0/23/003/3,023003,Тип выброса,3,Выброс в атмосферу и водные объекты,,,,,Operational,PDF
bufr4/0/23/003/4,023003,Тип выброса,4,Ожидаемый выброс в атмосферу,,,,,Operational,PDF
bufr4/0/23/003/5,023003,Тип выброса,5,Ожидаемый выброс в водные объекты,,,,,Operational,PDF
bufr4/0/23/003/6,023003,Тип выброса,6,Ожидаемый выброс в атмосферу и водные объекты,,,,,Operational,PDF
bufr4/0/23/003/7,023003,Тип выброса,7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/004/0,023004,"Контрмеры, принятые близ границы",0,Защитные меры отсутствуют,,,,,Operational,PDF
bufr4/0/23/004/1,023004,"Контрмеры, принятые близ границы",1,Эвакуация,,,,,Operational,PDF
bufr4/0/23/004/2,023004,"Контрмеры, принятые близ границы",2,Применение защиты,,,,,Operational,PDF
bufr4/0/23/004/3,023004,"Контрмеры, принятые близ границы",3,Профилактика,,,,,Operational,PDF
bufr4/0/23/004/4,023004,"Контрмеры, принятые близ границы",4,Вода,,,,,Operational,PDF
bufr4/0/23/004/5-6,023004,"Контрмеры, принятые близ границы",5-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/23/004/7,023004,"Контрмеры, принятые близ границы",7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/005/0,023005,Причина происшествия,0,"Страна, где произошло происшествие, не понимает, что произошло",,,,,Operational,PDF
bufr4/0/23/005/1,023005,Причина происшествия,1,"Страна, где произошло происшествие, знает его причину",,,,,Operational,PDF
bufr4/0/23/005/2,023005,Причина происшествия,2,Зарезервирована,,,,,Operational,PDF
bufr4/0/23/005/3,023005,Причина происшествия,3,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/006/0,023006,"Ситуация, связанная с происшествием",0,Без улучшения,,,,,Operational,PDF
bufr4/0/23/006/1,023006,"Ситуация, связанная с происшествием",1,Нестабильная,,,,,Operational,PDF
bufr4/0/23/006/2,023006,"Ситуация, связанная с происшествием",2,Нет ухудшения,,,,,Operational,PDF
bufr4/0/23/006/3,023006,"Ситуация, связанная с происшествием",3,Улучшение,,,,,Operational,PDF
bufr4/0/23/006/4,023006,"Ситуация, связанная с происшествием",4,Стабильная,,,,,Operational,PDF
bufr4/0/23/006/5,023006,"Ситуация, связанная с происшествием",5,Ухудшается,,,,,Operational,PDF
bufr4/0/23/006/6,023006,"Ситуация, связанная с происшествием",6,Зарезервирована,,,,,Operational,PDF
bufr4/0/23/006/7,023006,"Ситуация, связанная с происшествием",7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/007/0,023007,Характеристика выброса,0,Нет выброса,,,,,Operational,PDF
bufr4/0/23/007/1,023007,Характеристика выброса,1,Выброс остановлен,,,,,Operational,PDF
bufr4/0/23/007/2,023007,Характеристика выброса,2,Выброс,,,,,Operational,PDF
bufr4/0/23/007/3,023007,Характеристика выброса,3,Выброс продолжается,,,,,Operational,PDF
bufr4/0/23/007/4-6,023007,Характеристика выброса,4-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/23/007/7,023007,Характеристика выброса,7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/008/0,023008,Состояние текущего или ожидаемого выброса,0,Газообразный,,,,,Operational,PDF
bufr4/0/23/008/1,023008,Состояние текущего или ожидаемого выброса,1,В частицах,,,,,Operational,PDF
bufr4/0/23/008/2,023008,Состояние текущего или ожидаемого выброса,2,Газы и частицы (в смеси),,,,,Operational,PDF
bufr4/0/23/008/3,023008,Состояние текущего или ожидаемого выброса,3,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/009/0,023009,Состояние текущего или ожидаемого выброса,0,Газообразный,,,,,Operational,PDF
bufr4/0/23/009/1,023009,Состояние текущего или ожидаемого выброса,1,В частицах,,,,,Operational,PDF
bufr4/0/23/009/2,023009,Состояние текущего или ожидаемого выброса,2,Газы и частицы (в смеси),,,,,Operational,PDF
bufr4/0/23/009/3,023009,Состояние текущего или ожидаемого выброса,3,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/016/0,023016,Возможность значительного химико-токсического воздействия на здоровье,0,Значительное химическое токсическое воздействие на здоровье отсутствует,,,,,Operational,PDF
bufr4/0/23/016/1,023016,Возможность значительного химико-токсического воздействия на здоровье,1,Возможно значительное химическое токсическое воздействие на здоровье,,,,,Operational,PDF
bufr4/0/23/016/2,023016,Возможность значительного химико-токсического воздействия на здоровье,2,Зарезервирована,,,,,Operational,PDF
bufr4/0/23/016/3,023016,Возможность значительного химико-токсического воздействия на здоровье,3,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/018/0,023018,Поведение выброса во времени,0,Выброс прекратился,,,,,Operational,PDF
bufr4/0/23/018/1,023018,Поведение выброса во времени,1,Выброс еще продолжается,,,,,Operational,PDF
bufr4/0/23/018/2,023018,Поведение выброса во времени,2,Ожидается усиление выброса в ближайшие 6 часов,,,,,Operational,PDF
bufr4/0/23/018/3,023018,Поведение выброса во времени,3,"Ожидается, что выброс останется постоянным в течение следующих 6 часов",,,,,Operational,PDF
bufr4/0/23/018/4,023018,Поведение выброса во времени,4,Ожидается уменьшение выброса в течение следующих 6 часов,,,,,Operational,PDF
bufr4/0/23/018/5-6,023018,Поведение выброса во времени,5-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/23/018/7,023018,Поведение выброса во времени,7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/031/0,023031,"Возможность взаимодействия шлейфа с осадками, выпавшими в стране происхождения аварии",0,Шлейф не будет взаимодействовать с дождем в стране происхождения аварии,,,,,Operational,PDF
bufr4/0/23/031/1,023031,"Возможность взаимодействия шлейфа с осадками, выпавшими в стране происхождения аварии",1,Шлейф будет взаимодействовать с дождем в стране происхождения аварии,,,,,Operational,PDF
bufr4/0/23/031/2,023031,"Возможность взаимодействия шлейфа с осадками, выпавшими в стране происхождения аварии",2,Зарезервирована,,,,,Operational,PDF
bufr4/0/23/031/3,023031,"Возможность взаимодействия шлейфа с осадками, выпавшими в стране происхождения аварии",3,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/23/032/0,023032,Воздействие на шлейф изменения в направлении и/или флаге скорости ветра,0,Не ожидается значительных изменений в течение следующих 6 часов,,,,,Operational,PDF
bufr4/0/23/032/1,023032,Воздействие на шлейф изменения в направлении и/или флаге скорости ветра,1,Ожидается значительное изменение в течение следующих 6 часов,,,,,Operational,PDF
bufr4/0/23/032/2,023032,Воздействие на шлейф изменения в направлении и/или флаге скорости ветра,2,Зарезервирована,,,,,Operational,PDF
bufr4/0/23/032/3,023032,Воздействие на шлейф изменения в направлении и/или флаге скорости ветра,3,Отсутствующее значение,,,,,Operational,PDF
