ID,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status,translation_source
bufr4/3/21/001/1/002101,21,Категория 21 — Последовательности радиолокационных сводок,321001,(Профилометр ветра — характеристики антенны),,002101,Тип антенны,,,,Operational,PDF
bufr4/3/21/001/2/002114,21,Категория 21 — Последовательности радиолокационных сводок,321001,(Профилометр ветра — характеристики антенны),,002114,Площадь эффективной поверхности антенны,,,,Operational,PDF
bufr4/3/21/001/3/002105,21,Категория 21 — Последовательности радиолокационных сводок,321001,(Профилометр ветра — характеристики антенны),,002105,Максимальное усиление антенны,,,,Operational,PDF
bufr4/3/21/001/4/002106,21,Категория 21 — Последовательности радиолокационных сводок,321001,(Профилометр ветра — характеристики антенны),,002106,Ширина луча 3 дБ,,,,Operational,PDF
bufr4/3/21/001/5/002107,21,Категория 21 — Последовательности радиолокационных сводок,321001,(Профилометр ветра — характеристики антенны),,002107,Подавление бокового лепестка,,,,Operational,PDF
bufr4/3/21/001/6/002121,21,Категория 21 — Последовательности радиолокационных сводок,321001,(Профилометр ветра — характеристики антенны),,002121,Средняя частота,,,,Operational,PDF
bufr4/3/21/003/1/021051,21,Категория 21 — Последовательности радиолокационных сводок,321003,(Профилометр ветра — основные данные),,021051,"Мощность сигнала, превышающего 1 мВт",,,,Operational,PDF
bufr4/3/21/003/2/021014,21,Категория 21 — Последовательности радиолокационных сводок,321003,(Профилометр ветра — основные данные),,021014,Средняя доплеровская скорость (радиальная),,,,Operational,PDF
bufr4/3/21/003/3/021017,21,Категория 21 — Последовательности радиолокационных сводок,321003,(Профилометр ветра — основные данные),,021017,Спектральная ширина доплеровской скорости,,,,Operational,PDF
bufr4/3/21/003/4/021030,21,Категория 21 — Последовательности радиолокационных сводок,321003,(Профилометр ветра — основные данные),,021030,Соотношение сигнал/шум,,,,Operational,PDF
bufr4/3/21/004/1/301031,21,Категория 21 — Последовательности радиолокационных сводок,321004,(Профилометр ветра — основные данные зондирования),,301031,"Идентификация и тип станции, дата/время, местоположение (высокая точность), высота станции",,,,Operational,PDF
bufr4/3/21/004/2/002003,21,Категория 21 — Последовательности радиолокационных сводок,321004,(Профилометр ветра — основные данные зондирования),,002003,Тип используемого измерительного оборудования,,,,Operational,PDF
bufr4/3/21/004/3/101000,21,Категория 21 — Последовательности радиолокационных сводок,321004,(Профилометр ветра — основные данные зондирования),,101000,Повторение с задержкой 1 дескриптора,,,,Operational,PDF
bufr4/3/21/004/4/031001,21,Категория 21 — Последовательности радиолокационных сводок,321004,(Профилометр ветра — основные данные зондирования),,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational,PDF
bufr4/3/21/004/5/321003,21,Категория 21 — Последовательности радиолокационных сводок,321004,(Профилометр ветра — основные данные зондирования),,321003,Профилометр ветра — основные данные,,,,Operational,PDF
bufr4/3/21/005/1/025004,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,025004,Обработка отраженного сигнала,,,,Operational,PDF
bufr4/3/21/005/2/002121,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,002121,Средняя частота,,,,Operational,PDF
bufr4/3/21/005/3/002122,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,002122,Диапазон перестройки частоты,,,,Operational,PDF
bufr4/3/21/005/4/002123,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,002123,Пиковая мощность,,,,Operational,PDF
bufr4/3/21/005/5/002124,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,002124,Средняя мощность,,,,Operational,PDF
bufr4/3/21/005/6/002125,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,002125,Частота повторения импульсов,,,,Operational,PDF
bufr4/3/21/005/7/002126,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,002126,Длительность импульса,,,,Operational,PDF
bufr4/3/21/005/8/002127,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,002127,Промежуточная частота приемника,,,,Operational,PDF
bufr4/3/21/005/9/002128,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,002128,Ширина полосы по промежуточной частоте,,,,Operational,PDF
bufr4/3/21/005/10/002129,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,002129,Минимальный обнаруживаемый сигнал,,,,Operational,PDF
bufr4/3/21/005/11/002130,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,002130,Динамический диапазон,,,,Operational,PDF
bufr4/3/21/005/12/002131,21,Категория 21 — Последовательности радиолокационных сводок,321005,(Характеристики приемопередатчика),,002131,Временной контроль чувствительности (STC),,,,Operational,PDF
bufr4/3/21/006/1/025001,21,Категория 21 — Последовательности радиолокационных сводок,321006,(Характеристики интеграции),,025001,Длительность строб-импульса,,,,Operational,PDF
bufr4/3/21/006/2/025002,21,Категория 21 — Последовательности радиолокационных сводок,321006,(Характеристики интеграции),,025002,Количество усредненных строб-импульсов,,,,Operational,PDF
bufr4/3/21/006/3/025003,21,Категория 21 — Последовательности радиолокационных сводок,321006,(Характеристики интеграции),,025003,Количество интегрированных импульсов,,,,Operational,PDF
bufr4/3/21/006/4/025005,21,Категория 21 — Последовательности радиолокационных сводок,321006,(Характеристики интеграции),,025005,Интеграция отраженного сигнала,,,,Operational,PDF
bufr4/3/21/007/1/025009,21,Категория 21 — Последовательности радиолокационных сводок,321007,(Коррекции),,025009,Метод калибровки,,,,Operational,PDF
bufr4/3/21/007/2/025010,21,Категория 21 — Последовательности радиолокационных сводок,321007,(Коррекции),,025010,Подавление мешающих отражений,,,,Operational,PDF
bufr4/3/21/007/3/025011,21,Категория 21 — Последовательности радиолокационных сводок,321007,(Коррекции),,025011,Коррекция помех от земной поверхности (защита),,,,Operational,PDF
bufr4/3/21/007/4/025012,21,Категория 21 — Последовательности радиолокационных сводок,321007,(Коррекции),,025012,Коррекция затухания с увеличением дальности,,,,Operational,PDF
bufr4/3/21/007/5/025013,21,Категория 21 — Последовательности радиолокационных сводок,321007,(Коррекции),,025013,Коррекция яркой полосы,,,,Operational,PDF
bufr4/3/21/007/6/025015,21,Категория 21 — Последовательности радиолокационных сводок,321007,(Коррекции),,025015,Коррекция затухания на обтекателе,,,,Operational,PDF
bufr4/3/21/007/7/025016,21,Категория 21 — Последовательности радиолокационных сводок,321007,(Коррекции),,025016,Коррекция затухания в прозрачной атмосфере,,,,Operational,PDF
