ID,FXY,ElementName_ru,CodeFigure,EntryName_ru,EntryName_sub1_ru,EntryName_sub2_ru,Note_ru,noteIDs,Status,translation_source
bufr4/0/13/038/0,013038,Сверхадиабатический указатель,0,Несверхадиабатический,,,,,Operational,PDF
bufr4/0/13/038/1,013038,Сверхадиабатический указатель,1,Сверхадиабатический,,,,,Operational,PDF
bufr4/0/13/038/2,013038,Сверхадиабатический указатель,2,Зарезервировано,,,,,Operational,PDF
bufr4/0/13/038/3,013038,Сверхадиабатический указатель,3,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/13/039/0,013039,Тип поверхности (лед/снег),0,Морской лед,,,,,Operational,PDF
bufr4/0/13/039/1,013039,Тип поверхности (лед/снег),1,Снег на суше,,,,,Operational,PDF
bufr4/0/13/039/2-6,013039,Тип поверхности (лед/снег),2-6,Зарезервированы,,,,,Operational,PDF
bufr4/0/13/039/7,013039,Тип поверхности (лед/снег),7,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/13/040/0,013040,Флаг поверхности,0,Суша,,,,,Operational,PDF
bufr4/0/13/040/1,013040,Флаг поверхности,1,Зарезервировано,,,,,Operational,PDF
bufr4/0/13/040/2,013040,Флаг поверхности,2,Близко к берегу,,,,,Operational,PDF
bufr4/0/13/040/3,013040,Флаг поверхности,3,Лед,,,,,Operational,PDF
bufr4/0/13/040/4,013040,Флаг поверхности,4,"Возможно, лед",,,,,Operational,PDF
bufr4/0/13/040/5,013040,Флаг поверхности,5,Океан,,,,,Operational,PDF
bufr4/0/13/040/6,013040,Флаг поверхности,6,Берег,,,,,Operational,PDF
bufr4/0/13/040/7,013040,Флаг поверхности,7,Внутренние воды,,,(см. примечание),56,Operational,PDF
bufr4/0/13/040/8,013040,Флаг поверхности,8,Снежный покров,,,,,Operational,PDF
bufr4/0/13/040/9,013040,Флаг поверхности,9,Морской лед,,,,,Operational,PDF
bufr4/0/13/040/10,013040,Флаг поверхности,10,Стоячая вода,,,,,Operational,PDF
bufr4/0/13/040/11,013040,Флаг поверхности,11,Снег,,,,,Operational,PDF
bufr4/0/13/040/12-14,013040,Флаг поверхности,12-14,Зарезервированы,,,,,Operational,PDF
bufr4/0/13/040/15,013040,Флаг поверхности,15,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/13/041/1,013041,Категория стабильности Пасквиля — Гиффорда,1,A,,,,,Operational,PDF
bufr4/0/13/041/2,013041,Категория стабильности Пасквиля — Гиффорда,2,A – B,,,,,Operational,PDF
bufr4/0/13/041/3,013041,Категория стабильности Пасквиля — Гиффорда,3,B,,,,,Operational,PDF
bufr4/0/13/041/4,013041,Категория стабильности Пасквиля — Гиффорда,4,B – C,,,,,Operational,PDF
bufr4/0/13/041/5,013041,Категория стабильности Пасквиля — Гиффорда,5,C,,,,,Operational,PDF
bufr4/0/13/041/6,013041,Категория стабильности Пасквиля — Гиффорда,6,D,,,,,Operational,PDF
bufr4/0/13/041/7,013041,Категория стабильности Пасквиля — Гиффорда,7,E,,,,,Operational,PDF
