ID,FXY,ElementName_ru,CodeFigure,EntryName_ru,EntryName_sub1_ru,EntryName_sub2_ru,Note_ru,noteIDs,Status,translation_source
bufr4/0/20/003/00-49,020003,Текущая погода,00-49,В срок наблюдения осадки на станции не наблюдались,,,,,Operational,PDF
bufr4/0/20/003/00-19,020003,Текущая погода,00-19,"Осадки, туман, ледяной туман (за исключением 11 и 12), пыльная и песчаная бури, поземок или снежная низовая метель отсутствовали на станции в срок наблюдения или, за исключением 09 и 17, в течение предшествовавшего часа",,,,,Operational,PDF
bufr4/0/20/003/00-03,020003,Текущая погода,00-03,"Отсутствие метеоров, за исключением фотометеоров",,,,,Operational,PDF
bufr4/0/20/003/00,020003,Текущая погода,00,Развитие облачности не наблюдалось или неразличимо,Характеристика изменения состояния неба в течение прошедшего часа,,,,Operational,PDF
bufr4/0/20/003/01,020003,Текущая погода,01,Облака в целом рассеиваются или становятся менее развитыми,Характеристика изменения состояния неба в течение прошедшего часа,,,,Operational,PDF
bufr4/0/20/003/02,020003,Текущая погода,02,Состояние неба в общем не изменилось,Характеристика изменения состояния неба в течение прошедшего часа,,,,Operational,PDF
bufr4/0/20/003/03,020003,Текущая погода,03,Облака в целом формируются или развиваются,Характеристика изменения состояния неба в течение прошедшего часа,,,,Operational,PDF
bufr4/0/20/003/04-09,020003,Текущая погода,04-09,"Мгла, пыль, песок или дым",,,,,Operational,PDF
bufr4/0/20/003/04,020003,Текущая погода,04,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом",,,,,Operational,PDF
bufr4/0/20/003/05,020003,Текущая погода,05,Мгла,,,,,Operational,PDF
bufr4/0/20/003/06,020003,Текущая погода,06,"Пыль, взвешенная в воздухе на обширном пространстве, но не поднятая ветром на или вблизи станции в срок наблюдения",,,,,Operational,PDF
bufr4/0/20/003/07,020003,Текущая погода,07,"Пыль или песок, поднятые ветром на или вблизи станции в срок наблюдения, но нет хорошо развитого пыльного или песчаного вихря (вихрей), и никакой пыльной бури или песчаной бури не видно; или, в случае сообщения с судна или с береговой станции, брызги, переносимые ветром на станции",,,,,Operational,PDF
bufr4/0/20/003/08,020003,Текущая погода,08,"Хорошо развитый пыльный или песчаный вихрь (вихри) на или вблизи станции в течение последнего часа или в срок наблюдения, но пыльной или песчаной бури нет",,,,,Operational,PDF
bufr4/0/20/003/09,020003,Текущая погода,09,Пыльная или песчаная буря в поле зрения в срок наблюдения или на станции в течение последнего часа,,,,,Operational,PDF
