ID,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status,translation_source
bufr4/0/31/000,31,Описатели операторов описания данных в BUFR,031000,Коэффициент повторения короткого дескриптора с задержкой,Числовой,0,0,1,,,,,,Operational,PDF
bufr4/0/31/001,31,Описатели операторов описания данных в BUFR,031001,Коэффициент повторения дескриптора с задержкой,Числовой,0,0,8,,,,,,Operational,PDF
bufr4/0/31/002,31,Описатели операторов описания данных в BUFR,031002,Коэффициент повторения расширенного дескриптора с задержкой,Числовой,0,0,16,,,,,,Operational,PDF
bufr4/0/31/011,31,Описатели операторов описания данных в BUFR,031011,Коэффициент повторения дескриптора и данных с задержкой,Числовой,0,0,8,,,,(см. примечание 1),127,Operational,PDF
bufr4/0/31/012,31,Описатели операторов описания данных в BUFR,031012,Коэффициент повторения расширенного дескриптора и данных с задержкой,Числовой,0,0,16,,,,,,Operational,PDF
bufr4/0/31/021,31,Описатели операторов описания данных в BUFR,031021,Значимость ассоциированного поля,Кодовая таблица,0,0,6,,,,,,Operational,PDF
bufr4/0/31/031,31,Описатели операторов описания данных в BUFR,031031,Указатель наличия данных,Таблица флагов,0,0,1,,,,(см. примечания 2 и 3),"59,113",Operational,PDF
