ID,FXY,OperatorName_ru,OperationDefinition_ru,Note_ru,noteIDs,Status,translation_source
bufr4/223000,223000,Оператор замененных величин,"Замененные величины, которые следуют, относятся к данным, определенным битовым отображением имеющихся данных",,14,Operational,PDF
bufr4/223255,223255,Маркерный оператор замененных величин,"Этот оператор должен обозначать элемент данных, содержащий замененную величину; дескриптор элемента, соответствующий замененной величине, получают посредством применения битового отображения имеющихся данных, ассоциированного с оператором замененных величин",,14,Operational,PDF
bufr4/224000,224000,Статистические величины первого порядка следуют,"Статистические величины, которые следуют, относятся данным, определенным битовым отображением имеющихся данных",,16,Operational,PDF
bufr4/224255,224255,Маркерный оператор статистических величин первого порядка,"Этот оператор должен обозначать элемент данных, содержащий статистическую величину первого порядка того типа, который указан предшествующим дескриптором элемента 0 08 023; дескриптор элемента, к которому относятся статистические величины первого порядка, получают посредством применения битового отображения имеющихся данных, ассоциированного с оператором последующих статистических величин первого порядка; статистические величины первого порядка должны быть представлены согласно определению этого дескриптора элемента",,17,Operational,PDF
bufr4/225000,225000,Статистические величины разности следуют,"Статистические величины, которые следуют, относятся к данным, определенным битовым отображением имеющихся данных",,,Operational,PDF
bufr4/225255,225255,Маркерный оператор статистических величин разности,"Этот оператор должен обозначать элемент данных, содержащий статистическую величину разности того типа, который указан предшествующим дескриптором элемента 0 08 024; дескриптор элемента, к которому относятся статистические величины разности, получают посредством применения битового отображения имеющихся данных, ассоциированного с оператором последующих статистических величин разности; статистические величины разности должны быть представлены согласно определению этого дескриптора элемента, но с величиной начала отсчета равной –2n и длиной данных (n+1), где n — это длина данных, указанная первоначальным дескриптором. Эта специальная величина начала отсчета позволяет сконцентрировать статистические величины разности вокруг нуля",,,Operational,PDF
bufr4/232000,232000,Замененные/задержанные величины следуют,"Замененные/задержанные величины, которые следуют, относятся к данным, определенным битовым отображением имеющихся данных",,13,Operational,PDF
bufr4/232255,232255,Маркерный оператор замененных/ задержанных величин,"Этот оператор должен обозначать элемент данных, содержащий первоначальную величину элемента, который был заменен подставной величиной. Дескриптор элемента, соответствующий задержанной величине, получают посредством применения битового отображения имеющихся данных, ассоциированного с оператором замененных величин",,13,Operational,PDF
bufr4/235000,235000,Отменить предшествующие ссылки,"Этот оператор отменяет все ранее определенные предшествующие ссылки и все ранее определенные битовые отображения имеющихся данных; он обеспечивает отсылку следующего битового отображения имеющихся данных к дескрипторам данных, непосредственно предшествующим оператору, которому оно соответствует",,,Operational,PDF
bufr4/236000,236000,Определить битовое отображение имеющихся данных,"Этот оператор определяет битовое отображение имеющихся данных, которое следует, для возможного повторного использования; только одно битовое отображение имеющихся данных может быть определено между этим оператором и оператором отмены использования определенного битового отображения имеющихся данных",,,Operational,PDF
bufr4/237000,237000,Использовать определенное битовое отображение имеющихся данных,Этот оператор позволяет повторное использование определенного битового отображения имеющихся данных,,,Operational,PDF
bufr4/237255,237255,Отменить использование определенного битового отображения имеющихся данных,Этот оператор отменяет повторное использование определенного битового отображения имеющихся данных,,,Operational,PDF
bufr4/241000,241000,Определить событие,Этот оператор обозначает начало определения события,(см. примечание 19),19,Operational,PDF
bufr4/241255,241255,Отменить определение события,"Этот оператор обозначает завершение определения события, начатое предыдущим оператором 2 41 000",,,Operational,PDF
bufr4/242000,242000,Определить обусловливающее событие,Этот оператор обозначает начало определения обусловливающего события,(см. примечание 19),19,Operational,PDF
bufr4/242255,242255,Отменить определение обусловливающего события,"Этот оператор обозначает завершение определения обусловливающего события, начатое предыдущим оператором 2 42 000",,,Operational,PDF
bufr4/243000,243000,Величины категориального прогноза следуют,"Величины, которые следуют, являются величинами категориального прогноза",(см. примечание 20),20,Operational,PDF
bufr4/243255,243255,Отмена величин категориального прогноза следует,"Этот оператор обозначает завершение определения величин категориального прогноза, начатое предыдущим оператором 2 43 000",,,Operational,PDF
