ID,FXY,OperatorName_ru,OperationDefinition_ru,Note_ru,noteIDs,Status,translation_source
bufr4/201YYY,201YYY,Изменить длину данных,"Добавить (YYY–128) битов к длине данных для каждого элемента данных в таблице B, кроме данных МККТТ-МА5 (символьных), кодовых таблиц или таблиц флагов",,1,Operational,PDF
bufr4/202YYY,202YYY,Изменить масштаб,"Добавить (YYY–128) к масштабу для каждого элемента данных в таблице B, кроме данных МККТТ-МА5 (символьных), кодовых таблиц или таблиц флагов",,"1,2",Operational,PDF
bufr4/203YYY,203YYY,Изменить начало отсчета,"Последующие дескрипторы элементов определяют новые начала отсчета для соответствующих позиций в таблице В. Каждое новое начало отсчета представлено битами YYY в блоке данных. Определение новых величин начала отсчета осуществляется кодированием этого оператора посредством YYY = 255. Отрицательные величины начала отсчета должны быть представлены положительным целым числом с помощью самого крайнего левого бита (бит 1), установленного на цифру 1",,1,Operational,PDF
bufr4/204YYY,204YYY,Добавить ассоциированное поле,"Каждому элементу данных предшествует YYY битов информации. Эта операция связывает поле данных (например, информация контроля качества) YYY битов с каждым элементом данных",,"1,5,6,7,9",Operational,PDF
bufr4/205YYY,205YYY,Назначить символы,YYY символов (в коде МККТТ–МА5) вносится в виде поля данных длиной YYY × 8 битов,,11,Operational,PDF
bufr4/206YYY,206YYY,Обозначить длину данных для немедленно следующего локального дескриптора,YYY битов данных описываются немедленно следующим дескриптором,,12,Operational,PDF
bufr4/207YYY,207YYY,"Увеличить масштаб, величину начала отсчета и длину данных","Для элементов таблицы В, тип которых не МККТТ-МА5 (символьные данные), не кодовой таблицы и не таблицы флагов: 1. Добавить YYY к существующему масштабному коэффициенту 2. Умножить существующую величину начала отсчета на 10YYY 3. Вычислить ((10 × YYY) + 2) ÷ 3, отбросить дробную часть и добавить результат к битовой ширине",,"1,4",Operational,PDF
bufr4/208YYY,208YYY,Изменить длину поля МККТТ МА5,YYY символов из алфавита МККТТ № 5 (представляемых YYY × 8 битов в длину) заменяют указанную длину данных для каждого элемента таблицы В МККТТ МА5,,1,Operational,PDF
bufr4/221YYY,221YYY,Данные отсутствуют,"Значения данных, представленные в разделе 4 (Раздел данных) и соответствующие последующим дескрипторам YYY, должны быть ограничены данными из классов 01–09",,15,Operational,PDF
bufr4/222000,222000,Информация о качестве следует,"Величины элементов класса 33, которые следуют, относятся к данным, определенным битовым отображением имеющихся данных",,,Operational,PDF
