ID,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status,translation_source
bufr4/3/06/001/1/002032,06,Категория 06 — Метеорологические или океанографические,306001,"(Глубина, температура)",,002032,Указатель преобразования в цифровую форму,,,,Operational,PDF
bufr4/3/06/001/2/102000,06,Категория 06 — Метеорологические или океанографические,306001,"(Глубина, температура)",,102000,Повторение с задержкой 2 дескрипторов,,,,Operational,PDF
bufr4/3/06/001/3/031001,06,Категория 06 — Метеорологические или океанографические,306001,"(Глубина, температура)",,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational,PDF
bufr4/3/06/001/4/007062,06,Категория 06 — Метеорологические или океанографические,306001,"(Глубина, температура)",,007062,Глубина от поверхности моря/водной поверхности,,,,Operational,PDF
bufr4/3/06/001/5/022042,06,Категория 06 — Метеорологические или океанографические,306001,"(Глубина, температура)",,022042,Температура моря/воды,,,,Operational,PDF
bufr4/3/06/002/1/002031,06,Категория 06 — Метеорологические или океанографические,306002,(Течение),,002031,Продолжительность и время измерения течения,,,,Operational,PDF
bufr4/3/06/002/2/022004,06,Категория 06 — Метеорологические или океанографические,306002,(Течение),,022004,Направление течения,,,,Operational,PDF
bufr4/3/06/002/3/022031,06,Категория 06 — Метеорологические или океанографические,306002,(Течение),,022031,Скорость течения,,,,Operational,PDF
bufr4/3/06/003/1/002002,06,Категория 06 — Метеорологические или океанографические,306003,(Приземные ветер и температура),,002002,Тип приборного обеспечения для измерения ветра,,,,Operational,PDF
bufr4/3/06/003/2/011011,06,Категория 06 — Метеорологические или океанографические,306003,(Приземные ветер и температура),,011011,Направление ветра на высоте 10 м,,,,Operational,PDF
bufr4/3/06/003/3/011012,06,Категория 06 — Метеорологические или океанографические,306003,(Приземные ветер и температура),,011012,Скорость ветра на высоте 10 м,,,,Operational,PDF
bufr4/3/06/003/4/012004,06,Категория 06 — Метеорологические или океанографические,306003,(Приземные ветер и температура),,012004,Температура воздуха на высоте 2 м,,,,Operational,PDF
bufr4/3/06/004/1/002032,06,Категория 06 — Метеорологические или океанографические,306004,"(Глубина, температура, соленость)",,002032,Указатель преобразования в цифровую форму,,,,Operational,PDF
bufr4/3/06/004/2/002033,06,Категория 06 — Метеорологические или океанографические,306004,"(Глубина, температура, соленость)",,002033,Метод измерения солености/глубины,,,,Operational,PDF
bufr4/3/06/004/3/103000,06,Категория 06 — Метеорологические или океанографические,306004,"(Глубина, температура, соленость)",,103000,Повторение с задержкой 3 дескрипторов,,,,Operational,PDF
bufr4/3/06/004/4/031001,06,Категория 06 — Метеорологические или океанографические,306004,"(Глубина, температура, соленость)",,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational,PDF
bufr4/3/06/004/5/007062,06,Категория 06 — Метеорологические или океанографические,306004,"(Глубина, температура, соленость)",,007062,Глубина от поверхности моря/водной поверхности,,,,Operational,PDF
bufr4/3/06/004/6/022043,06,Категория 06 — Метеорологические или океанографические,306004,"(Глубина, температура, соленость)",,022043,Поверхностная температура моря,,,,Operational,PDF
bufr4/3/06/004/7/022062,06,Категория 06 — Метеорологические или океанографические,306004,"(Глубина, температура, соленость)",,022062,Соленость,,,,Operational,PDF
bufr4/3/06/005/1/002031,06,Категория 06 — Метеорологические или океанографические,306005,,,002031,Продолжительность и время измерения течения,,,,Operational,PDF
bufr4/3/06/005/2/103000,06,Категория 06 — Метеорологические или океанографические,306005,,,103000,Повторение с задержкой 3 дескрипторов,,,,Operational,PDF
bufr4/3/06/005/3/031001,06,Категория 06 — Метеорологические или океанографические,306005,,,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational,PDF
bufr4/3/06/005/4/007062,06,Категория 06 — Метеорологические или океанографические,306005,,,007062,Глубина от поверхности моря/водной поверхности,,,,Operational,PDF
bufr4/3/06/005/5/022004,06,Категория 06 — Метеорологические или океанографические,306005,,,022004,Направление течения,,,,Operational,PDF
bufr4/3/06/005/6/022031,06,Категория 06 — Метеорологические или океанографические,306005,,,022031,Скорость течения,,,,Operational,PDF
bufr4/3/06/006/1/306003,06,Категория 06 — Метеорологические или океанографические,306006,(Параметры подповерхностного зондирования (необязательные)),,306003,Приземные ветер и температура,,,,Operational,PDF
bufr4/3/06/006/2/306002,06,Категория 06 — Метеорологические или океанографические,306006,(Параметры подповерхностного зондирования (необязательные)),,306002,Течение,,,,Operational,PDF
bufr4/3/06/006/3/022063,06,Категория 06 — Метеорологические или океанографические,306006,(Параметры подповерхностного зондирования (необязательные)),,022063,Общая глубина воды,,,,Operational,PDF
bufr4/3/06/007/1/001012,06,Категория 06 — Метеорологические или океанографические,306007,(Параметры запасного блока буя),,001012,Направление движения подвижной наблюдательной платформы,,,,Operational,PDF
bufr4/3/06/007/2/001014,06,Категория 06 — Метеорологические или океанографические,306007,(Параметры запасного блока буя),,001014,Скорость дрейфа платформы (высокая точность),,,,Operational,PDF
bufr4/3/06/007/3/306008,06,Категория 06 — Метеорологические или океанографические,306007,(Параметры запасного блока буя),,306008,Параметры приборного оснащения буя,,,,Operational,PDF
bufr4/3/06/007/4/004024,06,Категория 06 — Метеорологические или океанографические,306007,(Параметры запасного блока буя),,004024,Временной период или отклонение,,,,Operational,PDF
bufr4/3/06/007/5/027003,06,Категория 06 — Метеорологические или океанографические,306007,(Параметры запасного блока буя),,027003,Альтернативная широта (низкая точность),,,,Operational,PDF
bufr4/3/06/007/6/028003,06,Категория 06 — Метеорологические или океанографические,306007,(Параметры запасного блока буя),,028003,Альтернативная долгота (низкая точность),,,,Operational,PDF
bufr4/3/06/008/1/002034,06,Категория 06 — Метеорологические или океанографические,306008,(Параметры приборного оснащения буя),,002034,Тип плавучего якоря,,,,Operational,PDF
bufr4/3/06/008/2/002035,06,Категория 06 — Метеорологические или океанографические,306008,(Параметры приборного оснащения буя),,002035,Длина кабеля,,,,Operational,PDF
bufr4/3/06/008/3/002036,06,Категория 06 — Метеорологические или океанографические,306008,(Параметры приборного оснащения буя),,002036,Тип буя,,,,Operational,PDF
bufr4/3/06/011/1/301021,06,Категория 06 — Метеорологические или океанографические,306011,"(Последовательность для представления идентификации станции наблюдений за приливами, метода передачи, времени передачи сообщения и времени начала отсчета для сводок во временном ряду)",,301021,Широта/долгота (высокая точность),,,,Operational,PDF
bufr4/3/06/011/2/001075,06,Категория 06 — Метеорологические или океанографические,306011,"(Последовательность для представления идентификации станции наблюдений за приливами, метода передачи, времени передачи сообщения и времени начала отсчета для сводок во временном ряду)",,001075,Идентификация станции наблюдения за приливами,Буквенно-цифровая идентификация (5 символов),,,Operational,PDF
bufr4/3/06/011/3/002147,06,Категория 06 — Метеорологические или океанографические,306011,"(Последовательность для представления идентификации станции наблюдений за приливами, метода передачи, времени передачи сообщения и времени начала отсчета для сводок во временном ряду)",,002147,Метод передачи в центр сбора,,,,Operational,PDF
bufr4/3/06/011/4/301011,06,Категория 06 — Метеорологические или океанографические,306011,"(Последовательность для представления идентификации станции наблюдений за приливами, метода передачи, времени передачи сообщения и времени начала отсчета для сводок во временном ряду)",,301011,"Год, месяц, день",,,,Operational,PDF
bufr4/3/06/011/5/301013,06,Категория 06 — Метеорологические или океанографические,306011,"(Последовательность для представления идентификации станции наблюдений за приливами, метода передачи, времени передачи сообщения и времени начала отсчета для сводок во временном ряду)",,301013,"Час, минута, секунда",,,,Operational,PDF
bufr4/3/06/012/1/002007,06,Категория 06 — Метеорологические или океанографические,306012,"(Последовательность для представления типа датчика, значащего описателя для датчика и состояния функционирования)",,002007,Тип датчика в случае прибора для измерения уровня воды,,,,Operational,PDF
bufr4/3/06/012/2/008015,06,Категория 06 — Метеорологические или океанографические,306012,"(Последовательность для представления типа датчика, значащего описателя для датчика и состояния функционирования)",,008015,Значимый описатель для датчика,,,,Operational,PDF
bufr4/3/06/012/3/008032,06,Категория 06 — Метеорологические или океанографические,306012,"(Последовательность для представления типа датчика, значащего описателя для датчика и состояния функционирования)",,008032,Состояние функционирования,,,,Operational,PDF
bufr4/3/06/012/4/306029,06,Категория 06 — Метеорологические или океанографические,306012,"(Последовательность для представления типа датчика, значащего описателя для датчика и состояния функционирования)",,306029,Последовательность для представления информации о выборке измерителя волн цунами для высот водного столба в сводке временного ряда,,,,Operational,PDF
bufr4/3/06/013/1/306012,06,Категория 06 — Метеорологические или океанографические,306013,(Последовательность для представления уровня воды и метеорологической составляющей во временном ряду),,306012,"Последовательность для представления типа датчика, значащего описателя для датчика и состояния функционирования",,,,Operational,PDF
bufr4/3/06/013/2/301011,06,Категория 06 — Метеорологические или океанографические,306013,(Последовательность для представления уровня воды и метеорологической составляющей во временном ряду),,301011,"Год, месяц, день",Дата начала отсчета для временного ряда,,,Operational,PDF
bufr4/3/06/013/3/301013,06,Категория 06 — Метеорологические или океанографические,306013,(Последовательность для представления уровня воды и метеорологической составляющей во временном ряду),,301013,"Час, минута, секунда",Дата начала отсчета для временного ряда,,,Operational,PDF
bufr4/3/06/013/4/022120,06,Категория 06 — Метеорологические или океанографические,306013,(Последовательность для представления уровня воды и метеорологической составляющей во временном ряду),,022120,Автоматизированный контроль уровня воды станцией наблюдений за приливами,,,,Operational,PDF
bufr4/3/06/013/5/022121,06,Категория 06 — Метеорологические или океанографические,306013,(Последовательность для представления уровня воды и метеорологической составляющей во временном ряду),,022121,Ручной контроль уровня воды станцией наблюдений за приливами,,,,Operational,PDF
bufr4/3/06/013/6/004015,06,Категория 06 — Метеорологические или океанографические,306013,(Последовательность для представления уровня воды и метеорологической составляющей во временном ряду),,004015,Временнóй инкремент,Добавлен для переустановки времени начала отсчета,,,Operational,PDF
bufr4/3/06/013/7/004065,06,Категория 06 — Метеорологические или океанографические,306013,(Последовательность для представления уровня воды и метеорологической составляющей во временном ряду),,004065,Короткий временной инкремент,Добавлен к каждому значению данных во временнóм ряду,,,Operational,PDF
bufr4/3/06/013/8/102000,06,Категория 06 — Метеорологические или океанографические,306013,(Последовательность для представления уровня воды и метеорологической составляющей во временном ряду),,102000,Повторение с задержкой 2 дескрипторов,,,,Operational,PDF
bufr4/3/06/013/9/031001,06,Категория 06 — Метеорологические или океанографические,306013,(Последовательность для представления уровня воды и метеорологической составляющей во временном ряду),,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational,PDF
bufr4/3/06/013/10/022038,06,Категория 06 — Метеорологические или океанографические,306013,(Последовательность для представления уровня воды и метеорологической составляющей во временном ряду),,022038,Высота прилива по отношению к локальному нулю графика,,,,Operational,PDF
bufr4/3/06/013/11/022040,06,Категория 06 — Метеорологические или океанографические,306013,(Последовательность для представления уровня воды и метеорологической составляющей во временном ряду),,022040,Метеорологическая составляющая высоты прилива (нагон или сгон),,,,Operational,PDF
bufr4/3/06/014/1/306012,06,Категория 06 — Метеорологические или океанографические,306014,"(Последовательность для представления уровня воды во временном ряду, аналогично 3 06 013, но без метеорологической составляющей)",,306012,"Последовательность для представления типа датчика, значащего описателя для датчика и состояния функционирования",,,,Operational,PDF
bufr4/3/06/014/2/301011,06,Категория 06 — Метеорологические или океанографические,306014,"(Последовательность для представления уровня воды во временном ряду, аналогично 3 06 013, но без метеорологической составляющей)",,301011,"Год, месяц, день",Дата начала отсчета для временного ряда,,,Operational,PDF
bufr4/3/06/014/3/301013,06,Категория 06 — Метеорологические или океанографические,306014,"(Последовательность для представления уровня воды во временном ряду, аналогично 3 06 013, но без метеорологической составляющей)",,301013,"Час, минута, секунда",Время начала отсчета для временного ряда,,,Operational,PDF
bufr4/3/06/014/4/022120,06,Категория 06 — Метеорологические или океанографические,306014,"(Последовательность для представления уровня воды во временном ряду, аналогично 3 06 013, но без метеорологической составляющей)",,022120,Автоматизированный контроль уровня воды станцией наблюдений за приливами,,,,Operational,PDF
bufr4/3/06/014/5/022121,06,Категория 06 — Метеорологические или океанографические,306014,"(Последовательность для представления уровня воды во временном ряду, аналогично 3 06 013, но без метеорологической составляющей)",,022121,Ручной контроль уровня воды станцией наблюдений за приливами,,,,Operational,PDF
bufr4/3/06/014/6/004015,06,Категория 06 — Метеорологические или океанографические,306014,"(Последовательность для представления уровня воды во временном ряду, аналогично 3 06 013, но без метеорологической составляющей)",,004015,Временнóй инкремент,Добавлен для переустановки времени начала отсчета,,,Operational,PDF
bufr4/3/06/014/7/004065,06,Категория 06 — Метеорологические или океанографические,306014,"(Последовательность для представления уровня воды во временном ряду, аналогично 3 06 013, но без метеорологической составляющей)",,004065,Короткий временной инкремент,Добавлен к каждому значению данных во временнóм ряду,,,Operational,PDF
bufr4/3/06/014/8/101000,06,Категория 06 — Метеорологические или океанографические,306014,"(Последовательность для представления уровня воды во временном ряду, аналогично 3 06 013, но без метеорологической составляющей)",,101000,Повторение с задержкой 1 дескриптора,,,,Operational,PDF
bufr4/3/06/014/9/031001,06,Категория 06 — Метеорологические или океанографические,306014,"(Последовательность для представления уровня воды во временном ряду, аналогично 3 06 013, но без метеорологической составляющей)",,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational,PDF
bufr4/3/06/014/10/022038,06,Категория 06 — Метеорологические или океанографические,306014,"(Последовательность для представления уровня воды во временном ряду, аналогично 3 06 013, но без метеорологической составляющей)",,022038,Высота прилива по отношению к локальному нулю графика,,,,Operational,PDF
bufr4/3/06/016/1/301011,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,301011,"Год, месяц, день",Дата начала отсчета для временного ряда,,,Operational,PDF
bufr4/3/06/016/2/301013,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,301013,"Час, минута, секунда",Время начала отсчета для временного ряда,,,Operational,PDF
bufr4/3/06/016/3/010004,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,010004,Давление,Уровень станции,,,Operational,PDF
bufr4/3/06/016/4/010051,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,010051,"Давление, приведенное к среднему уровню моря",,,,Operational,PDF
bufr4/3/06/016/5/302032,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,302032,Данные о температуре и влажности,,,,Operational,PDF
bufr4/3/06/016/6/007032,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,007032,Высота датчика над местной площадкой (или палубой морской платформы),,,,Operational,PDF
bufr4/3/06/016/7/002002,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,002002,Тип приборного обеспечения для измерения ветра,,,,Operational,PDF
bufr4/3/06/016/8/008021,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,008021,Значимость времени,= 2 Усредненное по времени,,,Operational,PDF
bufr4/3/06/016/9/004025,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,004025,Временной период или отклонение,"Например, = 1 для 1 минуты, = 10 для 10 минут",,,Operational,PDF
bufr4/3/06/016/10/011001,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,011001,Направление ветра,,,,Operational,PDF
bufr4/3/06/016/11/011002,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,011002,Скорость ветра,,,,Operational,PDF
bufr4/3/06/016/12/004025,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,004025,Временной период или отклонение,В минутах,,,Operational,PDF
bufr4/3/06/016/13/011043,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,011043,Направление ветра при максимальном порыве,,,,Operational,PDF
bufr4/3/06/016/14/011041,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,011041,Максимальная скорость ветра при порыве,,,,Operational,PDF
bufr4/3/06/016/15/025026,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,025026,Напряжение батареи (большой диапазон),Напряжение батареи АМС,,,Operational,PDF
bufr4/3/06/016/16/012060,06,Категория 06 — Метеорологические или океанографические,306016,"(Последовательность для представления дополнительных метеорологических данных, связанных с данными об уровне воды)",,012060,Внутренняя температура корпуса АМС,,,,Operational,PDF
bufr4/3/06/017/1/002032,06,Категория 06 — Метеорологические или океанографические,306017,(Профиль подповерхностной температуры (высокая точность/ прецизионность) с флагами качества),,002032,Указатель преобразования в цифровую форму,= 0 Глубины стационарных датчиков,,,Operational,PDF
bufr4/3/06/017/2/008034,06,Категория 06 — Метеорологические или океанографические,306017,(Профиль подповерхностной температуры (высокая точность/ прецизионность) с флагами качества),,008034,Описатель измерения температуры/солености,,,,Operational,PDF
bufr4/3/06/017/3/106000,06,Категория 06 — Метеорологические или океанографические,306017,(Профиль подповерхностной температуры (высокая точность/ прецизионность) с флагами качества),,106000,Повторение с задержкой 6 дескрипторов,,,,Operational,PDF
bufr4/3/06/017/4/031002,06,Категория 06 — Метеорологические или океанографические,306017,(Профиль подповерхностной температуры (высокая точность/ прецизионность) с флагами качества),,031002,Коэффициент повторения расширенного дескриптора с задержкой,Число глубин,,,Operational,PDF
bufr4/3/06/017/5/007065,06,Категория 06 — Метеорологические или океанографические,306017,(Профиль подповерхностной температуры (высокая точность/ прецизионность) с флагами качества),,007065,Давление воды,в Па,,,Operational,PDF
bufr4/3/06/017/6/008080,06,Категория 06 — Метеорологические или океанографические,306017,(Профиль подповерхностной температуры (высокая точность/ прецизионность) с флагами качества),,008080,Описатель флага качества ГТСПП,,,,Operational,PDF
bufr4/3/06/017/7/033050,06,Категория 06 — Метеорологические или океанографические,306017,(Профиль подповерхностной температуры (высокая точность/ прецизионность) с флагами качества),,033050,Общий флаг качества ГТСПП,,,,Operational,PDF
bufr4/3/06/017/8/022045,06,Категория 06 — Метеорологические или океанографические,306017,(Профиль подповерхностной температуры (высокая точность/ прецизионность) с флагами качества),,022045,Температура моря/воды,"в К, до третьего десятичного знака",,,Operational,PDF
bufr4/3/06/017/9/008080,06,Категория 06 — Метеорологические или океанографические,306017,(Профиль подповерхностной температуры (высокая точность/ прецизионность) с флагами качества),,008080,Описатель флага качества ГТСПП,,,,Operational,PDF
bufr4/3/06/017/10/033050,06,Категория 06 — Метеорологические или океанографические,306017,(Профиль подповерхностной температуры (высокая точность/ прецизионность) с флагами качества),,033050,Общий флаг качества ГТСПП,,,,Operational,PDF
bufr4/3/06/017/11/008034,06,Категория 06 — Метеорологические или океанографические,306017,(Профиль подповерхностной температуры (высокая точность/ прецизионность) с флагами качества),,008034,Описатель измерения температуры/солености,Установлено на отсутствующее значение (отмена),,,Operational,PDF
bufr4/3/06/018/1/002032,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,002032,Указатель преобразования в цифровую форму,= 0 Глубины стационарных датчиков,,,Operational,PDF
bufr4/3/06/018/2/008034,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,008034,Описатель измерения температуры/солености,,,,Operational,PDF
bufr4/3/06/018/3/109000,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,109000,Повторение с задержкой 9 дескрипторов,,,,Operational,PDF
bufr4/3/06/018/4/031002,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,031002,Коэффициент повторения расширенного дескриптора с задержкой,Число глубин,,,Operational,PDF
bufr4/3/06/018/5/007065,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,007065,Давление воды,в Па,,,Operational,PDF
bufr4/3/06/018/6/008080,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,008080,Описатель флага качества ГТСПП,,,,Operational,PDF
bufr4/3/06/018/7/033050,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,033050,Общий флаг качества ГТСПП,,,,Operational,PDF
bufr4/3/06/018/8/022045,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,022045,Температура моря/воды,"в К, до третьего десятичного знака",,,Operational,PDF
bufr4/3/06/018/9/008080,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,008080,Описатель флага качества ГТСПП,,,,Operational,PDF
bufr4/3/06/018/10/033050,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,033050,Общий флаг качества ГТСПП,,,,Operational,PDF
bufr4/3/06/018/11/022064,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,022064,Соленость,,,,Operational,PDF
bufr4/3/06/018/12/008080,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,008080,Описатель флага качества ГТСПП,,,,Operational,PDF
bufr4/3/06/018/13/033050,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,033050,Общий флаг качества ГТСПП,,,,Operational,PDF
bufr4/3/06/018/14/008034,06,Категория 06 — Метеорологические или океанографические,306018,(Профиль подповерхностной температуры (высокая точность/прецизионность) с флагами качества),,008034,Описатель измерения температуры/солености,Установлено на отсутствующее значение (отмена),,,Operational,PDF
bufr4/3/06/019/1/001075,06,Категория 06 — Метеорологические или океанографические,306019,"(Идентификация сводки о приливах, проверки уровня воды, временные инкременты)",,001075,Идентификация станции наблюдения за приливами,Буквенно-цифровая,,,Operational,PDF
bufr4/3/06/019/2/301011,06,Категория 06 — Метеорологические или океанографические,306019,"(Идентификация сводки о приливах, проверки уровня воды, временные инкременты)",,301011,"Год, месяц, день",,,,Operational,PDF
bufr4/3/06/019/3/301012,06,Категория 06 — Метеорологические или океанографические,306019,"(Идентификация сводки о приливах, проверки уровня воды, временные инкременты)",,301012,"Час, минута",,,,Operational,PDF
bufr4/3/06/019/4/022042,06,Категория 06 — Метеорологические или океанографические,306019,"(Идентификация сводки о приливах, проверки уровня воды, временные инкременты)",,022042,Температура моря/воды,,,,Operational,PDF
bufr4/3/06/019/5/022120,06,Категория 06 — Метеорологические или океанографические,306019,"(Идентификация сводки о приливах, проверки уровня воды, временные инкременты)",,022120,Автоматизированный контроль уровня воды станцией наблюдения за приливами,,,,Operational,PDF
bufr4/3/06/019/6/022121,06,Категория 06 — Метеорологические или океанографические,306019,"(Идентификация сводки о приливах, проверки уровня воды, временные инкременты)",,022121,Ручной контроль уровня воды станцией наблюдения за приливами,,,,Operational,PDF
bufr4/3/06/019/7/004015,06,Категория 06 — Метеорологические или океанографические,306019,"(Идентификация сводки о приливах, проверки уровня воды, временные инкременты)",,004015,Временнóй инкремент,Минуты,(см. примечание 1),42,Operational,PDF
bufr4/3/06/019/8/004065,06,Категория 06 — Метеорологические или океанографические,306019,"(Идентификация сводки о приливах, проверки уровня воды, временные инкременты)",,004065,Короткий временной инкремент,,,,Operational,PDF
bufr4/3/06/020/1/001075,06,Категория 06 — Метеорологические или океанографические,306020,"(Идентификация сводки о приливах, проверки уровня воды, временнóй период или отклонение, временнóй инкремент)",,001075,Идентификация станции наблюдения за приливами,Буквенно-цифровая,(см. примечание 2),69,Deprecated,PDF
bufr4/3/06/020/2/301011,06,Категория 06 — Метеорологические или океанографические,306020,"(Идентификация сводки о приливах, проверки уровня воды, временнóй период или отклонение, временнóй инкремент)",,301011,"Год, месяц, день",,(см. примечание 2),69,Deprecated,PDF
bufr4/3/06/020/3/301012,06,Категория 06 — Метеорологические или океанографические,306020,"(Идентификация сводки о приливах, проверки уровня воды, временнóй период или отклонение, временнóй инкремент)",,301012,"Час, минута",,(см. примечание 2),69,Deprecated,PDF
bufr4/3/06/020/4/022042,06,Категория 06 — Метеорологические или океанографические,306020,"(Идентификация сводки о приливах, проверки уровня воды, временнóй период или отклонение, временнóй инкремент)",,022042,Температура моря/воды,,(см. примечание 2),69,Deprecated,PDF
bufr4/3/06/020/5/022120,06,Категория 06 — Метеорологические или океанографические,306020,"(Идентификация сводки о приливах, проверки уровня воды, временнóй период или отклонение, временнóй инкремент)",,022120,Автоматизированный контроль уровня воды станцией наблюдения за приливами,,(см. примечание 2),69,Deprecated,PDF
bufr4/3/06/020/6/022121,06,Категория 06 — Метеорологические или океанографические,306020,"(Идентификация сводки о приливах, проверки уровня воды, временнóй период или отклонение, временнóй инкремент)",,022121,Ручной контроль уровня воды станцией наблюдения за приливами,,(см. примечание 2),69,Deprecated,PDF
bufr4/3/06/020/7/004075,06,Категория 06 — Метеорологические или океанографические,306020,"(Идентификация сводки о приливах, проверки уровня воды, временнóй период или отклонение, временнóй инкремент)",,004075,Кратковременный период или отклонение,,(см. примечание 2),69,Deprecated,PDF
