ID,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status,translation_source
bufr4/3/06/020/8/004065,06,Категория 06 — Метеорологические или океанографические,306020,"(Идентификация сводки о приливах, проверки уровня воды, временнóй период или отклонение, временнóй инкремент)",,004065,Короткий временнóй инкремент,,(см. примечание 2),69,Deprecated,PDF
bufr4/3/06/021/1/001075,06,Категория 06 — Метеорологические или океанографические,306021,(Метеорологические параметры на станции наблюдения за приливами),,001075,Идентификация станции наблюдения за приливами,Буквенно-цифровая,,,Operational,PDF
bufr4/3/06/021/2/301011,06,Категория 06 — Метеорологические или океанографические,306021,(Метеорологические параметры на станции наблюдения за приливами),,301011,"Год, месяц, день",,,,Operational,PDF
bufr4/3/06/021/3/301012,06,Категория 06 — Метеорологические или океанографические,306021,(Метеорологические параметры на станции наблюдения за приливами),,301012,"Час, минута",,,,Operational,PDF
bufr4/3/06/021/4/022122,06,Категория 06 — Метеорологические или океанографические,306021,(Метеорологические параметры на станции наблюдения за приливами),,022122,Автоматизированный контроль метеорологических данных станцией наблюдения за приливами,,,,Operational,PDF
bufr4/3/06/021/5/022123,06,Категория 06 — Метеорологические или океанографические,306021,(Метеорологические параметры на станции наблюдения за приливами),,022123,Ручной контроль метеорологических данных станцией наблюдения за приливами,,,,Operational,PDF
bufr4/3/06/021/6/012001,06,Категория 06 — Метеорологические или океанографические,306021,(Метеорологические параметры на станции наблюдения за приливами),,012001,Температура моря/воды,,,,Operational,PDF
bufr4/3/06/021/7/303002,06,Категория 06 — Метеорологические или океанографические,306021,(Метеорологические параметры на станции наблюдения за приливами),,303002,Ветер на заданной изобарической поверхности,,,,Operational,PDF
bufr4/3/06/023/1/001015,06,Категория 06 — Метеорологические или океанографические,306023,,,001015,Название станции или поста,,,,Operational,PDF
bufr4/3/06/023/2/301023,06,Категория 06 — Метеорологические или океанографические,306023,,,301023,Широта/долгота (низкая точность),,,,Operational,PDF
bufr4/3/06/023/3/301011,06,Категория 06 — Метеорологические или океанографические,306023,,,301011,"Год, месяц, день",,,,Operational,PDF
bufr4/3/06/023/4/301012,06,Категория 06 — Метеорологические или океанографические,306023,,,301012,"Час, минута",,,,Operational,PDF
