ID,FXY,ElementName_ru,CodeFigure,EntryName_ru,EntryName_sub1_ru,EntryName_sub2_ru,Note_ru,noteIDs,Status,translation_source
bufr4/0/30/031/0,030031,Тип изображения,0,PPI,,,,,Operational,PDF
bufr4/0/30/031/1,030031,Тип изображения,1,Комбинированный,,,,,Operational,PDF
bufr4/0/30/031/2,030031,Тип изображения,2,CAPPI,,,,,Operational,PDF
bufr4/0/30/031/3,030031,Тип изображения,3,Вертикальный разрез,,,,,Operational,PDF
bufr4/0/30/031/4,030031,Тип изображения,4,Буквенно-цифровые данные,,,,,Operational,PDF
bufr4/0/30/031/5,030031,Тип изображения,5,"Карта предметов на местности, создающих помехи",,,,,Operational,PDF
bufr4/0/30/031/6,030031,Тип изображения,6,Карта,,,,,Operational,PDF
bufr4/0/30/031/7,030031,Тип изображения,7,Тестовое изображение,,,,,Operational,PDF
bufr4/0/30/031/8,030031,Тип изображения,8,Замечания,,,,,Operational,PDF
bufr4/0/30/031/9,030031,Тип изображения,9,Карта отражений от местных объектов,,,,,Operational,PDF
bufr4/0/30/031/10,030031,Тип изображения,10,Карта высоты луча радиолокатора,,,,,Operational,PDF
bufr4/0/30/031/11-13,030031,Тип изображения,11-13,Зарезервированы,,,,,Operational,PDF
bufr4/0/30/031/14,030031,Тип изображения,14,Другие виды,,,,,Operational,PDF
bufr4/0/30/031/15,030031,Тип изображения,15,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/30/032/1,030032,Комбинация с другими данными,1,Карта,,,,,Operational,PDF
bufr4/0/30/032/2,030032,Комбинация с другими данными,2,Спутниковые IR,,,,,Operational,PDF
bufr4/0/30/032/3,030032,Комбинация с другими данными,3,Спутниковые VIS,,,,,Operational,PDF
bufr4/0/30/032/4,030032,Комбинация с другими данными,4,Спутниковые WV,,,,,Operational,PDF
bufr4/0/30/032/5,030032,Комбинация с другими данными,5,Спутниковые мультиспектральные,,,,,Operational,PDF
bufr4/0/30/032/6,030032,Комбинация с другими данными,6,Синоптические наблюдения,,,,,Operational,PDF
bufr4/0/30/032/7,030032,Комбинация с другими данными,7,Прогностические параметры,,,,,Operational,PDF
bufr4/0/30/032/8,030032,Комбинация с другими данными,8,Данные о молниях,,,,,Operational,PDF
bufr4/0/30/032/9-14,030032,Комбинация с другими данными,9-14,Зарезервированы,,,,,Operational,PDF
bufr4/0/30/032/15,030032,Комбинация с другими данными,15,Другие данные,,,,,Operational,PDF
bufr4/0/30/032/All-16,030032,Комбинация с другими данными,Все 16,Отсутствующее значение,,,,,Operational,PDF
