ID,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status,translation_source
bufr4/0/13/038/0,013038,Indicateur superadiabatique,0,Non superadiabatique,,,,,Operational,PDF
bufr4/0/13/038/1,013038,Indicateur superadiabatique,1,Superadiabatique,,,,,Operational,PDF
bufr4/0/13/038/2,013038,Indicateur superadiabatique,2,En réserve,,,,,Operational,PDF
bufr4/0/13/038/3,013038,Indicateur superadiabatique,3,Valeur manquante,,,,,Operational,PDF
bufr4/0/13/039/0,013039,Type de terrain (glace/neige),0,Glaces de mer,,,,,Operational,PDF
bufr4/0/13/039/1,013039,Type de terrain (glace/neige),1,Neige sur le sol,,,,,Operational,PDF
bufr4/0/13/039/2-6,013039,Type de terrain (glace/neige),2-6,En réserve,,,,,Operational,PDF
bufr4/0/13/039/7,013039,Type de terrain (glace/neige),7,Valeur manquante,,,,,Operational,PDF
bufr4/0/13/040/0,013040,Indicateur de surface,0,Terre,,,,,Operational,PDF
bufr4/0/13/040/1,013040,Indicateur de surface,1,En réserve,,,,,Operational,PDF
bufr4/0/13/040/2,013040,Indicateur de surface,2,Proximité des côtes,,,,,Operational,PDF
bufr4/0/13/040/3,013040,Indicateur de surface,3,Glace,,,,,Operational,PDF
bufr4/0/13/040/4,013040,Indicateur de surface,4,Possibilité de glace,,,,,Operational,PDF
bufr4/0/13/040/5,013040,Indicateur de surface,5,Océan,,,,,Operational,PDF
bufr4/0/13/040/6,013040,Indicateur de surface,6,Côte,,,,,Operational,PDF
bufr4/0/13/040/7,013040,Indicateur de surface,7,Eaux intérieures,,,(voir Note),56,Operational,PDF
bufr4/0/13/040/8,013040,Indicateur de surface,8,Enneigement,,,,,Operational,PDF
bufr4/0/13/040/9,013040,Indicateur de surface,9,Glaces de mer,,,,,Operational,PDF
bufr4/0/13/040/10,013040,Indicateur de surface,10,Eau stagnante,,,,,Operational,PDF
bufr4/0/13/040/11,013040,Indicateur de surface,11,Neige,,,,,Operational,PDF
bufr4/0/13/040/12,013040,Indicateur de surface,12,Sol gelé,,,,,Operational,AI
bufr4/0/13/040/13-14,013040,Indicateur de surface,13-14,En réserve,,,,,Operational,AI
bufr4/0/13/040/15,013040,Indicateur de surface,15,Valeur manquante,,,,,Operational,PDF
bufr4/0/13/041/1,013041,Catégorie de stabilité de Pasquill-Gifford,1,A,,,,,Operational,PDF
bufr4/0/13/041/2,013041,Catégorie de stabilité de Pasquill-Gifford,2,A - B,,,,,Operational,PDF
bufr4/0/13/041/3,013041,Catégorie de stabilité de Pasquill-Gifford,3,B,,,,,Operational,PDF
bufr4/0/13/041/4,013041,Catégorie de stabilité de Pasquill-Gifford,4,B - C,,,,,Operational,PDF
bufr4/0/13/041/5,013041,Catégorie de stabilité de Pasquill-Gifford,5,C,,,,,Operational,PDF
bufr4/0/13/041/6,013041,Catégorie de stabilité de Pasquill-Gifford,6,D,,,,,Operational,PDF
bufr4/0/13/041/7,013041,Catégorie de stabilité de Pasquill-Gifford,7,E,,,,,Operational,PDF
bufr4/0/13/041/8,013041,Catégorie de stabilité de Pasquill-Gifford,8,F,,,,,Operational,PDF
bufr4/0/13/041/9,013041,Catégorie de stabilité de Pasquill-Gifford,9,G,,,,,Operational,PDF
bufr4/0/13/041/10-14,013041,Catégorie de stabilité de Pasquill-Gifford,10-14,En réserve,,,,,Operational,PDF
bufr4/0/13/041/15,013041,Catégorie de stabilité de Pasquill-Gifford,15,Valeur manquante,,,,,Operational,PDF
bufr4/0/13/051/0,013051,"Groupe de fréquence, précipitations",0,Inférieur à toute valeur enregistrée au cours de la période de 30 ans,,,,,Operational,PDF
bufr4/0/13/051/1,013051,"Groupe de fréquence, précipitations",1,Dans le premier quintile,,,,,Operational,PDF
bufr4/0/13/051/2,013051,"Groupe de fréquence, précipitations",2,Dans le deuxième quintile,,,,,Operational,PDF
bufr4/0/13/051/3,013051,"Groupe de fréquence, précipitations",3,Dans le troisième quintile,,,,,Operational,PDF
bufr4/0/13/051/4,013051,"Groupe de fréquence, précipitations",4,Dans le quatrième quintile,,,,,Operational,PDF
bufr4/0/13/051/5,013051,"Groupe de fréquence, précipitations",5,Dans le cinquième quintile,,,,,Operational,PDF
bufr4/0/13/051/6,013051,"Groupe de fréquence, précipitations",6,Supérieur à toute valeur enregistrée au cours de la période de 30 ans,,,,,Operational,PDF
bufr4/0/13/051/7-14,013051,"Groupe de fréquence, précipitations",7-14,En réserve,,,,,Operational,PDF
bufr4/0/13/051/15,013051,"Groupe de fréquence, précipitations",15,Valeur manquante,,,,,Operational,PDF
bufr4/0/13/056/0,013056,Caractère et intensité des précipitations,0,Pas de précipitations,,,,,Operational,PDF
bufr4/0/13/056/1,013056,Caractère et intensité des précipitations,1,Précipitations faibles intermittentes,,,,,Operational,PDF
bufr4/0/13/056/2,013056,Caractère et intensité des précipitations,2,Précipitations modérées intermittentes,,,,,Operational,PDF
bufr4/0/13/056/3,013056,Caractère et intensité des précipitations,3,Fortes précipitations intermittentes,,,,,Operational,PDF
bufr4/0/13/056/4,013056,Caractère et intensité des précipitations,4,Très fortes précipitations intermittentes,,,,,Operational,PDF
bufr4/0/13/056/5,013056,Caractère et intensité des précipitations,5,Précipitations faibles continues,,,,,Operational,PDF
bufr4/0/13/056/6,013056,Caractère et intensité des précipitations,6,Précipitations modérées continues,,,,,Operational,PDF
bufr4/0/13/056/7,013056,Caractère et intensité des précipitations,7,Fortes précipitations continues,,,,,Operational,PDF
bufr4/0/13/056/8,013056,Caractère et intensité des précipitations,8,Très fortes précipitations continues,,,,,Operational,PDF
bufr4/0/13/056/9,013056,Caractère et intensité des précipitations,9,Précipitations d'intensité variable - alternativement faible et forte,,,,,Operational,PDF
bufr4/0/13/056/10-14,013056,Caractère et intensité des précipitations,10-14,En réserve,,,,,Operational,PDF
bufr4/0/13/056/15,013056,Caractère et intensité des précipitations,15,Valeur manquante,,,,,Operational,PDF
bufr4/0/13/057/0,013057,Heure du début ou de la fin des précipitations,0,Pas de précipitations,,,,,Operational,PDF
bufr4/0/13/057/1,013057,Heure du début ou de la fin des précipitations,1,Au cours de l'heure écoulée,,,,,Operational,PDF
bufr4/0/13/057/2,013057,Heure du début ou de la fin des précipitations,2,1 à 2 heures auparavant,,,,,Operational,PDF
bufr4/0/13/057/3,013057,Heure du début ou de la fin des précipitations,3,2 à 3 heures auparavant,,,,,Operational,PDF
bufr4/0/13/057/4,013057,Heure du début ou de la fin des précipitations,4,3 à 4 heures auparavant,,,,,Operational,PDF
bufr4/0/13/057/5,013057,Heure du début ou de la fin des précipitations,5,4 à 5 heures auparavant,,,,,Operational,PDF
bufr4/0/13/057/6,013057,Heure du début ou de la fin des précipitations,6,5 à 6 heures auparavant,,,,,Operational,PDF
bufr4/0/13/057/7,013057,Heure du début ou de la fin des précipitations,7,6 à 8 heures auparavant,,,,,Operational,PDF
bufr4/0/13/057/8,013057,Heure du début ou de la fin des précipitations,8,8 à 10 heures auparavant,,,,,Operational,PDF
bufr4/0/13/057/9,013057,Heure du début ou de la fin des précipitations,9,Plus de 10 heures auparavant,,,,,Operational,PDF
bufr4/0/13/057/10-14,013057,Heure du début ou de la fin des précipitations,10-14,En réserve,,,,,Operational,PDF
bufr4/0/13/057/15,013057,Heure du début ou de la fin des précipitations,15,Valeur manquante,,,,,Operational,PDF
