ID,Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status,translation_source
bufr4/3/11/001/1/301051,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,(Comptes rendus d'aéronef),,301051,"Numéro de vol, système de navigation, date/heure, position, phase de vol",ASDAR,,,Operational,Original
bufr4/3/11/001/2/007002,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,(Comptes rendus d'aéronef),,007002,Hauteur ou altitude,,,,Operational,Original
bufr4/3/11/001/3/012001,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,(Comptes rendus d'aéronef),,012001,Température/température de l'air,,,,Operational,Original
bufr4/3/11/001/4/011001,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,(Comptes rendus d'aéronef),,011001,Direction du vent,,,,Operational,Original
bufr4/3/11/001/5/011002,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,(Comptes rendus d'aéronef),,011002,Vitesse du vent,,,,Operational,Original
bufr4/3/11/001/6/011031,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,(Comptes rendus d'aéronef),,011031,Degré de turbulence,,,,Operational,Original
bufr4/3/11/001/7/011032,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,(Comptes rendus d'aéronef),,011032,Hauteur de la base de la turbulence,,,,Operational,Original
bufr4/3/11/001/8/011033,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,(Comptes rendus d'aéronef),,011033,Hauteur du sommet de la turbulence,,,,Operational,Original
bufr4/3/11/001/9/020041,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311001,(Comptes rendus d'aéronef),,020041,Givrage d'aéronef,,,,Operational,Original
bufr4/3/11/002/1/301065,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311002,(Messages ACARS),,301065,Identification du message ACARS,,,,Operational,Original
bufr4/3/11/002/2/301066,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311002,(Messages ACARS),,301066,Position concernant les messages ACARS,,,,Operational,Original
bufr4/3/11/002/3/311003,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311002,(Messages ACARS),,311003,Variables ACARS standard transmises,,,,Operational,Original
bufr4/3/11/002/4/311004,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311002,(Messages ACARS),,311004,Variables ACARS supplémentaires transmises,,,,Operational,Original
bufr4/3/11/003/1/010070,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311003,(Variables ACARS standard transmises),,010070,Altitude de l'aéronef indiquée,,,,Operational,Original
bufr4/3/11/003/2/011001,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311003,(Variables ACARS standard transmises),,011001,Direction du vent,,,,Operational,Original
bufr4/3/11/003/3/011002,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311003,(Variables ACARS standard transmises),,011002,Vitesse du vent,,,,Operational,Original
bufr4/3/11/003/4/012001,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311003,(Variables ACARS standard transmises),,012001,Température/température de l'air,,,,Operational,Original
bufr4/3/11/003/5/013002,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311003,(Variables ACARS standard transmises),,013002,Rapport de mélange,,,,Operational,Original
bufr4/3/11/004/1/101000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,101000,Répétition différée de 1 descripteur,,,,Operational,Original
bufr4/3/11/004/2/031000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,031000,Facteur de répétition légèrement différée du descripteur,,,,Operational,Original
bufr4/3/11/004/3/011034,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,011034,Vitesse des rafales verticales,,,,Operational,Original
bufr4/3/11/004/4/101000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,101000,Répétition différée de 1 descripteur,,,,Operational,Original
bufr4/3/11/004/5/031000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,031000,Facteur de répétition légèrement différée du descripteur,,,,Operational,Original
bufr4/3/11/004/6/011035,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,011035,Accélération des rafales verticales,,,,Operational,Original
bufr4/3/11/004/7/101000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,101000,Répétition différée de 1 descripteur,,,,Operational,Original
bufr4/3/11/004/8/031000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,031000,Facteur de répétition légèrement différée du descripteur,,,,Operational,Original
bufr4/3/11/004/9/011075,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,011075,Intensité moyenne de la turbulence (taux de dissipation des tourbillons),,,,Operational,Original
bufr4/3/11/004/10/101000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,101000,Répétition différée de 1 descripteur,,,,Operational,Original
bufr4/3/11/004/11/031000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,031000,Facteur de répétition légèrement différée du descripteur,,,,Operational,Original
bufr4/3/11/004/12/011076,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,011076,Intensité maximale de la turbulence (taux de dissipation des tourbillons),,,,Operational,Original
bufr4/3/11/004/13/101000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,101000,Répétition différée de 1 descripteur,,,,Operational,Original
bufr4/3/11/004/14/031000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,031000,Facteur de répétition légèrement différée du descripteur,,,,Operational,Original
bufr4/3/11/004/15/033025,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,033025,Indicateur de valeurs ACARS interpolées,,,,Operational,Original
bufr4/3/11/004/16/101000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,101000,Répétition différée de 1 descripteur,,,,Operational,Original
bufr4/3/11/004/17/031000,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,031000,Facteur de répétition légèrement différée du descripteur,,,,Operational,Original
bufr4/3/11/004/18/033026,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311004,(Variables ACARS supplémentaires transmises),,033026,Qualité de la mesure de l'humidité,,,,Operational,Original
bufr4/3/11/005/1/001008,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311005,(Messages AMDAR standard),,001008,Numéro d'immatriculation de l'aéronef ou autre identification,,,,Operational,Original
bufr4/3/11/005/2/001023,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311005,(Messages AMDAR standard),,001023,Numéro de la séquence d'observations,,,,Operational,Original
bufr4/3/11/005/3/301021,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311005,(Messages AMDAR standard),,301021,Latitude/longitude (précision élevée),,,,Operational,Original
bufr4/3/11/005/4/301011,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311005,(Messages AMDAR standard),,301011,"Année, mois, jour",,,,Operational,Original
bufr4/3/11/005/5/301013,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311005,(Messages AMDAR standard),,301013,"Heure, minute, seconde",,,,Operational,Original
bufr4/3/11/005/6/007010,11,Séquences correspondant à des messages d'observation à un seul niveau (données classiques),311005,(Messages AMDAR standard),,007010,Niveau de vol,,,,Operational,Original
