ID,Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status,translation_source
bufr4/3/06/001/1/002032,06,Séquences météorologiques ou océanographiques communes,306001,"(Profondeur, température)",,002032,Indicateur de numérisation,,,,Operational,Original
bufr4/3/06/001/2/102000,06,Séquences météorologiques ou océanographiques communes,306001,"(Profondeur, température)",,102000,Répétition différée de 2 descripteurs,,,,Operational,Original
bufr4/3/06/001/3/031001,06,Séquences météorologiques ou océanographiques communes,306001,"(Profondeur, température)",,031001,Facteur de répétition différée du descripteur,,,,Operational,Original
bufr4/3/06/001/4/007062,06,Séquences météorologiques ou océanographiques communes,306001,"(Profondeur, température)",,007062,Profondeur sous la surface de la mer/de l'eau,,,,Operational,Original
bufr4/3/06/001/5/022042,06,Séquences météorologiques ou océanographiques communes,306001,"(Profondeur, température)",,022042,Température de la mer/de l'eau,,,,Operational,Original
bufr4/3/06/002/1/002031,06,Séquences météorologiques ou océanographiques communes,306002,(Courant),,002031,Durée et heure de la mesure du courant,,,,Operational,Original
bufr4/3/06/002/2/022004,06,Séquences météorologiques ou océanographiques communes,306002,(Courant),,022004,Direction du courant,,,,Operational,Original
bufr4/3/06/002/3/022031,06,Séquences météorologiques ou océanographiques communes,306002,(Courant),,022031,Vitesse du courant,,,,Operational,Original
bufr4/3/06/003/1/002002,06,Séquences météorologiques ou océanographiques communes,306003,(Vent et température en surface),,002002,Type d'instruments pour la mesure du vent,,,,Operational,Original
bufr4/3/06/003/2/011011,06,Séquences météorologiques ou océanographiques communes,306003,(Vent et température en surface),,011011,Direction du vent à 10 m,,,,Operational,Original
bufr4/3/06/003/3/011012,06,Séquences météorologiques ou océanographiques communes,306003,(Vent et température en surface),,011012,Vitesse du vent à 10 m,,,,Operational,Original
bufr4/3/06/003/4/012004,06,Séquences météorologiques ou océanographiques communes,306003,(Vent et température en surface),,012004,Température de l'air à 2 m,,,,Operational,Original
bufr4/3/06/004/1/002032,06,Séquences météorologiques ou océanographiques communes,306004,"(Profondeur, température, salinité)",,002032,Indicateur de numérisation,,,,Operational,Original
bufr4/3/06/004/2/002033,06,Séquences météorologiques ou océanographiques communes,306004,"(Profondeur, température, salinité)",,002033,Méthode de mesure de la salinité en fonction de la profondeur,,,,Operational,Original
bufr4/3/06/004/3/103000,06,Séquences météorologiques ou océanographiques communes,306004,"(Profondeur, température, salinité)",,103000,Répétition différée de 3 descripteurs,,,,Operational,Original
bufr4/3/06/004/4/031001,06,Séquences météorologiques ou océanographiques communes,306004,"(Profondeur, température, salinité)",,031001,Facteur de répétition différée du descripteur,,,,Operational,Original
bufr4/3/06/004/5/007062,06,Séquences météorologiques ou océanographiques communes,306004,"(Profondeur, température, salinité)",,007062,Profondeur sous la surface de la mer/de l'eau,,,,Operational,Original
bufr4/3/06/004/6/022043,06,Séquences météorologiques ou océanographiques communes,306004,"(Profondeur, température, salinité)",,022043,Température de la mer/de l'eau,,,,Operational,Original
bufr4/3/06/004/7/022062,06,Séquences météorologiques ou océanographiques communes,306004,"(Profondeur, température, salinité)",,022062,Salinité,,,,Operational,Original
bufr4/3/06/005/1/002031,06,Séquences météorologiques ou océanographiques communes,306005,,,002031,Durée et heure de la mesure du courant,,,,Operational,Original
bufr4/3/06/005/2/103000,06,Séquences météorologiques ou océanographiques communes,306005,,,103000,Répétition différée de 3 descripteurs,,,,Operational,Original
bufr4/3/06/005/3/031001,06,Séquences météorologiques ou océanographiques communes,306005,,,031001,Facteur de répétition différée du descripteur,,,,Operational,Original
bufr4/3/06/005/4/007062,06,Séquences météorologiques ou océanographiques communes,306005,,,007062,Profondeur sous la surface de la mer/de l'eau,,,,Operational,Original
bufr4/3/06/005/5/022004,06,Séquences météorologiques ou océanographiques communes,306005,,,022004,Direction du courant,,,,Operational,Original
bufr4/3/06/005/6/022031,06,Séquences météorologiques ou océanographiques communes,306005,,,022031,Vitesse du courant,,,,Operational,Original
bufr4/3/06/006/1/306003,06,Séquences météorologiques ou océanographiques communes,306006,(Paramètres (facultatifs) de mesure par sonde immergée),,306003,Vent et température en surface,,,,Operational,Original
bufr4/3/06/006/2/306002,06,Séquences météorologiques ou océanographiques communes,306006,(Paramètres (facultatifs) de mesure par sonde immergée),,306002,Courant,,,,Operational,Original
bufr4/3/06/006/3/022063,06,Séquences météorologiques ou océanographiques communes,306006,(Paramètres (facultatifs) de mesure par sonde immergée),,022063,Profondeur totale de l'eau,,,,Operational,Original
bufr4/3/06/007/1/001012,06,Séquences météorologiques ou océanographiques communes,306007,(Blocs réservés pour les paramètres de bouées),,001012,Direction de déplacement de la plate-forme d'observation mobile,,,,Operational,Original
bufr4/3/06/007/2/001014,06,Séquences météorologiques ou océanographiques communes,306007,(Blocs réservés pour les paramètres de bouées),,001014,Vitesse de dérive de la plate-forme (précision élevée),,,,Operational,Original
bufr4/3/06/007/3/306008,06,Séquences météorologiques ou océanographiques communes,306007,(Blocs réservés pour les paramètres de bouées),,306008,Paramètres des instruments pour bouées,,,,Operational,Original
bufr4/3/06/007/4/004024,06,Séquences météorologiques ou océanographiques communes,306007,(Blocs réservés pour les paramètres de bouées),,004024,Période ou décalage dans le temps,,,,Operational,Original
bufr4/3/06/007/5/027003,06,Séquences météorologiques ou océanographiques communes,306007,(Blocs réservés pour les paramètres de bouées),,027003,Autre latitude possible (faible précision),,,,Operational,Original
bufr4/3/06/007/6/028003,06,Séquences météorologiques ou océanographiques communes,306007,(Blocs réservés pour les paramètres de bouées),,028003,Autre longitude possible (faible précision),,,,Operational,Original
bufr4/3/06/008/1/002034,06,Séquences météorologiques ou océanographiques communes,306008,(Paramètres des instruments pour bouées),,002034,Type de lest (stabilisateur),,,,Operational,Original
bufr4/3/06/008/2/002035,06,Séquences météorologiques ou océanographiques communes,306008,(Paramètres des instruments pour bouées),,002035,Longueur du câble,,,,Operational,Original
bufr4/3/06/008/3/002036,06,Séquences météorologiques ou océanographiques communes,306008,(Paramètres des instruments pour bouées),,002036,Type de bouée,,,,Operational,Original
bufr4/3/06/011/1/301021,06,Séquences météorologiques ou océanographiques communes,306011,"(Séquence pour la représentation de l'identification de la station d'observation des marées, du mode de transmission, de l'heure de transmission du message et de l'heure de référence à consigner dans les séries chronologiques)",,301021,Latitude/longitude (précision élevée),,,,Operational,Original
